skill_id,name,category,level,mod_type,target_stat,value,element
bramblebulwark,Vine Guard,enemy,3,damage,,,Stun
bramblebulwark,Vine Guard,enemy,3,status,Stun,,
breakbones,Break Bones,root,1,damage,Power,1.35,Physical
breakice,Break Ice,root,1,damage,Focus,0.75,Ice
breakice,Break Ice,root,2,damage,Focus,0.75,Ice
brewingstorm,Brewing Storm,enemy,1,damage,Focus,1,Lightning
bsod,BSOD,enemy,1,damage,Focus,3.0,Lightning
buboburst,Bubo Burst,root,2,heal,,,
bulletpunch,Bullet Punch,enemy,1,damage,Power,0.1,Physical;Stun
bulletpunch,Bullet Punch,enemy,1,damage,Focus,1,
bulletpunch,Bullet Punch,enemy,1,status,Stun,,
bulwark,Bulwark,root,1,damage,,,
bulwark,Bulwark,root,2,damage,,,
burn,Burn,enemy,1,damage,Focus,0.35,Fire
burningfist,Burning Fist,root,1,damage,Power,0.8,Physical;Fire
burningfist,Burning Fist,root,2,damage,Power,0.4,Fire
burningfist,Burning Fist,root,3,damage,Power,0.6,
callbomb,Call Bomb,enemy,1,summon,,,
callcultist,Call Cultist,enemy,1,summon,,,
calldrone,Call Drone,enemy,1,summon,,,
callforbackup,Call For Backup,root,1,summon,,,
callforbackup,Call For Backup,root,2,summon,,,
callguardian,Call Guardian,enemy,1,summon,,,
callimp,Call Imps,enemy,1,summon,,,
callnurse,Call Nurse,root,1,summon,,,
callscorpion,Call Scorpion,enemy,1,summon,,,
callspiderlings,Call Spiderlings,enemy,1,summon,,,
callspirits,Call Spirits,enemy,1,summon,,,
callswarmer,Call Swarmer,enemy,1,summon,,,
callundead,Call Undead,enemy,1,summon,,,
callvoidzombie,Call Void,enemy,1,summon,,,
callwolf,Call Wolf,enemy,1,summon,,,
caltrops,Caltrops,root,1,damage,,,Physical;Melee
cardthrow,Card Throw,fight,1,damage,Technique,1.0,Physical
cardthrow,Card Throw,fight,2,damage,,,Physical
cardthrow,Card Throw,fight,3,damage,,,
cardthrowclub,Card Throw Club,fight,1,damage,,,
cardthrowheart,Card Throw Heart,fight,1,damage,,,
cardthrowheart,Card Throw Heart,fight,1,heal,,,
cardthrowspade,Card Throw Spade,fight,1,damage,,,
cauterize,Cauterize,root,1,damage,,,Debuff;Fire;Debuff
cauterize,Cauterize,root,2,stat_mod,Toughness,+15%,
cauterize,Cauterize,root,3,stat_mod,Endurance,+15%,
cencomrepair,Cencom Repair,enemy,1,heal,,,
chainlaser,Chain Laser,fight,1,damage,Power,0.5,Energy
chainlaser,Chain Laser,fight,2,damage,Power,0.5,Energy
chainlightning,Chain Lightning,root,1,damage,Focus,1.0,Lightning
chainlightning,Chain Lightning,root,2,damage,Focus,1.0,Lightning
chainlightninglich,Chain Lightning,defend,1,damage,Focus,1,Lightning
chainlightninglich,Chain Lightning,defend,2,damage,Focus,1,Lightning
chainsaw,Chainsaw,root,1,damage,,,Physical
chainsaw,Chainsaw,root,2,damage,,,
chakra,Chakra,root,1,heal,,,
channel,Channel,enemy,1,damage,,,
charge,Charge,root,1,damage,Power,1,Physical
charge,Charge,root,2,damage,,,
chargedfist,Charged Fist,inventions,1,damage,,,Lightning
charm,Charm,defend,2,damage,,,
chastise,Chastise,fight,1,damage,Focus,1.2,Holy
chastise,Chastise,fight,2,damage,Focus,0.6,Holy
chill,Chill,fight,1,damage,Focus,1,Ice
chill,Chill,fight,2,stat_mod,Speed,-25%,
chomp,Chomp,enemy,1,damage,Power,1.5,Physical
chop,Chop,fight,1,damage,Power,1,Physical
chop,Chop,fight,2,damage,,,
chop,Chop,fight,3,damage,Power,1,Physical
clawswipes,Claw Swipes,enemy,1,damage,Power,0.75,Physical
cleanse,Cleanse,root,1,status,Poison,,
cleanse,Cleanse,root,2,heal,,,
cleave,Cleave,root,1,damage,Power,1,Physical
cleave,Cleave,root,1,damage,Power,0.5,Physical
cleave,Cleave,root,2,damage,,,Physical
cleave,Cleave,root,3,status,Bleed,,
clobber,Clobber,fight,1,damage,Power,1.5,Physical;Stun
clobber,Clobber,fight,1,status,Stun,,
clobber,Clobber,fight,2,damage,,,
clobber,Clobber,fight,3,damage,,,
clothesline,Clothesline,fight,1,damage,Power,1,Physical;Stun
clothesline,Clothesline,fight,1,status,Stun,,
clothesline,Clothesline,fight,2,stat_mod,Toughness,-15%,
clothesline,Clothesline,fight,3,stat_mod,Speed,-15%,
clownhammer,Clown Hammer,fight,1,damage,,,Stun
clownhammer,Clown Hammer,fight,1,status,Stun,,
clownhammer,Clown Hammer,fight,2,damage,,,
coagulate,Coagulate,root,1,damage,,,Dark
coagulate,Coagulate,root,2,damage,,,
coagulate,Coagulate,root,3,damage,,,
coldwallop,Snow Plow,enemy,1,damage,Focus,0.6,Ice
combatroll,Combat Roll,root,4,heal,,,
conduit,Conduit,enemy,1,damage,,,Dark
conduit,Conduit,enemy,2,damage,,,
consecrate,Consecrate,root,1,damage,Focus,1,Holy
consecrate,Consecrate,root,2,damage,,,
constrict,Constrict,enemy,1,damage,,,
consumeegg,Consume Egg,enemy,1,heal,,,
coresurge,Core Surge,enemy,1,damage,,,Lightning
coresurge,Core Surge,enemy,1,stat_mod,Toughness,-25%,
corruptionblast,Corruption Blast,enemy,1,damage,Focus,1.6,Dark
cosmichorror,Cosmic Horror,enemy,1,damage,Focus,2,Stun
cosmichorror,Cosmic Horror,enemy,1,status,Stun,,
crusharmor,Crush Armor,root,1,damage,,,Physical
crusharmor,Crush Armor,root,2,stat_mod,Toughness,-75%,
crusharmor,Crush Armor,root,3,damage,,,Physical
crushsoul,Crush Soul,root,1,damage,Power,1.35,MP
crushsoul,Crush Soul,root,1,stat_mod,Discipline,-25%,
cryogrenade,Cryo Grenade,root,1,damage,,,Ice
cryoshot,Cryo Shot,enemy,1,damage,Power,1,Ice
cryoshot,Cryo Shot,enemy,3,damage,,,Ice
darkbargain,Dark Bargain,enemy,1,damage,,,Physical
darkbargain,Dark Bargain,enemy,3,damage,,,Physical
darkbond,Dark Bond,root,1,damage,,,
darkbond,Dark Bond,root,3,damage,,,
darkclaws,Dark Claws,enemy,1,damage,Power,0.75,Dark;MP
darkestbargain,Darkest Bargain,enemy,1,damage,,,Physical
darkflame,Dark Flame,root,1,damage,Focus,1,Dark;Fire
darkflame,Dark Flame,root,2,damage,,,
darkmatter,Dark Matter,enemy,1,damage,Focus,1.75,Dark
darkmatterbomb,Dark Mtr Bomb,inventions,1,damage,,,Dark;MP
darkmirror,Dark Mirror,enemy,1,summon,,,
darkprism,Dark Prism,enemy,1,damage,,,Healing;Dark
dazzle,Dazzle,fight,1,damage,Technique,1,Stun
dazzle,Dazzle,fight,1,status,Stun,,
dazzle,Dazzle,fight,2,damage,Technique,.5,MP
dazzle,Dazzle,fight,3,damage,,,Stun
dazzle,Dazzle,fight,3,status,Stun,,
deathshroud,Death Shroud,root,2,stat_gain,Wisdom as Focus while active,100%,
defend,Defend,defend,1,damage,,,
desecrate,Desecrate,root,1,damage,Focus,1,Dark
desecrate,Desecrate,root,2,damage,,,
detonate,Detonate,enemy,1,damage,Power,10,Physical
devastate,Devastate,enemy,1,damage,Power,3.0,Energy
devour,Devour,enemy,1,damage,,,Physical
direct,Direct,root,1,summon,,,
direct,Direct,root,2,damage,,,
directive,Directive,root,1,grant,,,
directive,Directive,root,2,damage,,,
disarm,Disarm,root,1,damage,Power,0.75,Physical
disarm,Disarm,root,1,stat_mod,Power,-50%,
disarm,Disarm,root,2,damage,,,Stun
disarm,Disarm,root,2,status,Stun,,
discard,Discard,enemy,1,damage,Focus,1.5,Holy
disengage,Disengage,defend,1,heal,,,
displacement,Displacement,root,1,grant,,,
divineshield,Divine Shield,root,1,damage,,,
divineshield,Divine Shield,root,4,damage,,,
dokunoken,Dokunoken,enemy,1,damage,,,Physical;Physical;Poison
dokunoken,Dokunoken,enemy,1,status,Poison,2turn,
dominatemind,Dominate Mind,root,2,damage,,,
doomprophecy,Doom Prophecy,fight,1,damage,Focus,3,Holy
doomprophecy,Doom Prophecy,fight,3,damage,Focus,0.2,Holy
dragonblade,Dragon Blade,fight,1,damage,Focus,0.5,Fire
dragonrush,Dragon Rush,root,1,damage,Power,2,Physical;Fire
dragonrush,Dragon Rush,root,2,damage,,,
dragonrush,Dragon Rush,root,3,damage,,,
dragunder,Drag Under,enemy,1,damage,,,Physical;Stun;Physical
dragunder,Drag Under,enemy,1,status,Stun,,
drainhusk,Drain Husk,enemy,1,damage,,,
drainhusk,Drain Husk,enemy,1,heal,,,
drainhusk,Drain Husk,enemy,1,grant,,,
drainhusk,Drain Husk,enemy,2,damage,,,
drainhusk,Drain Husk,enemy,2,heal,,,
drainhusk,Drain Husk,enemy,2,grant,,,
drainhusk,Drain Husk,enemy,3,damage,,,
drainhusk,Drain Husk,enemy,3,heal,,,
drainhusk,Drain Husk,enemy,3,grant,,,
drainingcloud,Draining Cloud,map,1,damage,,,MP
drainlife,Drain Life,root,1,damage,Focus,1.5,Dark
drainlife,Drain Life,root,1,heal,,,
drainlife,Drain Life,root,2,damage,,,
drainlife,Drain Life,root,3,damage,,,
drainpunch,Drain Punch,enemy,1,damage,Power,0.5,Physical;Dark
drawsoul,Draw Soul,root,1,damage,,,MP
drawsoul,Draw Soul,root,2,damage,,,
dreamdust,Dream Dust,enemy,1,damage,Focus,5,Sleep
dreamdust,Dream Dust,enemy,1,damage,Focus,2.5,Sleep
dreamdust,Dream Dust,enemy,1,status,Sleep,,
duel,Duel,root,2,damage,,,
duel,Duel,root,3,damage,,,
dynamite,Dynamite,root,1,damage,,,Physical;Fire
eagleeye,Eagle Eye,root,1,damage,,,Attack
eclipse,Eclipse,root,1,damage,Focus,1.5,Dark
eclipse,Eclipse,root,2,damage,,,Dark
eclipse,Eclipse,root,3,damage,,,
eclipse,Eclipse,root,4,damage,,,
electrify,Electrify,enemy,1,damage,Focus,0.5,Lightning
elkspirit,Elk Spirit,root,1,summon,,,
elkspirit,Elk Spirit,root,2,heal,,,
emberbolt,Ember Bolt,root,1,damage,Focus,0.6,Physical
emberbolt,Ember Bolt,root,2,damage,,,
emberbolt,Ember Bolt,root,3,damage,,,
empower,Empower,enemy,2,damage,,,
encircle,Encircle,enemy,1,summon,,,
energize,Energize,root,3,damage,,,
energizer,Energizer,inventions,1,grant,,,
energylance,Energy Lance,root,1,damage,Focus,2.5,Energy
energywave,Energy Wave,root,1,damage,Focus,1.3,Energy
energywave,Energy Wave,root,2,stat_mod,Technique,-25%,
enfeeblingray,Enfeebling Ray,root,2,stat_mod,Toughness,-50%,
enfeeblingray,Enfeebling Ray,root,3,stat_mod,Speed,-35%,
enrage,Enrage,root,1,damage,,,Physical
enrage,Enrage,root,2,stat_mod,Speed,+25%,
enrage,Enrage,root,3,damage,,,
enragebeast,Enrage Beast,enemy,1,grant,,,
enragebeast,Enrage Beast,enemy,2,grant,,,
enragebeast,Enrage Beast,enemy,3,grant,,,
entangle,Entangle,enemy,1,damage,Power,1,Physical
entomb,Entomb,root,1,damage,Focus,0.45,Physical
entomb,Entomb,root,2,damage,,,Stun
entomb,Entomb,root,2,status,Stun,,
enzymes,Enzymes,enemy,1,damage,,,Physical
enzymes,Enzymes,enemy,1,stat_mod,Toughness,-50%,
execute,Execute,root,1,damage,Power,2.5,Physical
explode,Explode,drone,1,damage,,,
eyelaser,Eye Laser,root,1,damage,Power,2.5,Energy
fade,Fade,root,1,damage,,,
fade,Fade,root,2,damage,,,
faithhealing,Faith Healing,root,2,heal,,,
falchion,Falchion,fight,1,damage,,,
falconscout,Falcon Scout,defend,1,damage,,,
fallingleaf,Falling Leaf,defend,1,damage,Discipline,1.35,Physical
fallingleaf,Falling Leaf,defend,2,damage,,,Lightning
fanofblades,Fan of Blades,root,1,damage,Power,1,Physical
fanofblades,Fan of Blades,root,2,damage,Power,1,Physical
fanofblades,Fan of Blades,root,3,damage,,,
fatalsting,Fatal Sting,enemy,1,damage,Power,6,Physical
feedback,Feedback,root,1,damage,Focus,1,Energy
feedback,Feedback,root,2,damage,,,Attack
fight,Fight,fight,1,damage,,,
fight,Fight,fight,2,damage,,,
fireball,Fireball,root,1,damage,Focus,1.2,Fire
fireball,Fireball,root,3,damage,Focus,0.6,Fire
fireblast,Fire Blast,root,1,damage,Focus,0.65,Fire
firehose,Firehose,root,1,damage,Power,1.5,Physical;Ice
firehose,Firehose,root,2,damage,Power,1.5,Physical;Ice
firestorm,Firestorm,enemy,1,damage,,,Fire
flame,Flame,root,1,damage,Focus,1.5,Fire
flamecoat,Flamecoat,root,1,damage,Focus,0.5,Fire
flamecoat,Flamecoat,root,2,damage,Focus,0.5,Fire
flamecoat,Flamecoat,root,3,damage,,,Fire
flamejet,Flame Jet,root,1,damage,Focus,1,Fire
flamejet,Flame Jet,root,2,damage,Focus,0.5,Fire
flamejet,Flame Jet,root,3,damage,,,Fire
flamerush,Flame Rush,enemy,1,damage,Focus,1.0,Fire
flamerush,Flame Rush,enemy,1,damage,Focus,0.5,Fire
flameshield,Flame Shield,defend,1,damage,Focus,0.35,Fire
flameshield,Flame Shield,defend,2,damage,Focus,0.35,Fire
flameshield,Flame Shield,defend,3,damage,Focus,0.5,Fire
flameshield,Flame Shield,defend,4,damage,,,
flameshield,Flame Shield,defend,5,damage,,,Fire
flamethrower,Flamethrower,fight,1,damage,Power,1,Fire
flamethrower,Flamethrower,fight,1,damage,Power,0.5,Fire
flashheal,Flash Heal,root,1,heal,,,
flashheal,Flash Heal,root,2,heal,,,
flight,Flight,root,1,status,Guard,3turn,
flight,Flight,root,2,stat_mod,Speed,+50%,
flight,Flight,root,3,stat_mod,Power,+50%,
flintlock,Flintlock,defend,1,damage,,,
flit,Flit,defend,1,grant,,,
flourish,Flourish,fight,1,damage,Power,1.25,Physical
flourish,Flourish,fight,3,damage,,,Alcohol
flurry,Flurry,fight,1,damage,Power,0.3,Physical
forcefield,Forcefield,root,1,damage,,,
foxfire,Foxfire,defend,1,damage,,,Fire
foxfire,Foxfire,defend,2,heal,,,
freezeray,Freeze Ray,root,1,damage,,,Ice
freezeray,Freeze Ray,root,3,damage,,,Ice
freezingwind,Freezing Wind,map,1,damage,,,Ice
frenzy,Frenzy,defend,1,damage,,,
frenzy,Frenzy,defend,1,stat_mod,Speed,+50%,
frenzy,Frenzy,defend,2,damage,,,Stun;Sleep
frenzy,Frenzy,defend,2,status,Stun,,
frenzy,Frenzy,defend,2,status,Sleep,,
frostray,Frost Ray,defend,1,damage,Focus,1.2,Ice
frostray,Frost Ray,defend,1,stat_mod,Speed,-50%,
frostray,Frost Ray,defend,2,damage,Focus,1.2,Ice
frostshield,Frost Shield,root,1,damage,Focus,2,
frostshield,Frost Shield,root,2,damage,,,Stun
frostshield,Frost Shield,root,2,status,Stun,,
froststrike,Frozen Kick,root,1,damage,Power,1.2,Physical;Ice
froststrike,Frozen Kick,root,2,stat_mod,Toughness,-35%,
froststrike,Frozen Kick,root,3,damage,,,Fire;Lightning;Ice
frozenbomb,Frozen Bomb,enemy,1,damage,,,Ice
frozensolid,Frozen Solid,enemy,1,stat_mod,Toughness,-50%,
gammawave,Gamma Wave,enemy,1,damage,Focus,0.5,Poison
gammawave,Gamma Wave,enemy,1,status,Poison,6turn,
gather,Gather Shadows,enemy,1,damage,,,
gather,Gather Shadows,enemy,1,status,channeling,,
gavel,Gavel,fight,1,damage,,,Stun
gavel,Gavel,fight,1,status,Stun,,
gavel,Gavel,fight,2,damage,,,Debuff
gaze,Gaze,enemy,1,damage,,,Dark
geniusfrozen,Genius Frozen,transform,1,status,Frozen,,
givetreat,Give Treat,root,3,summon,,,
gladius,Gladius,fight,1,damage,Power,1.25,Physical
gladius,Gladius,fight,2,damage,Power,1.25,Physical
goadingstrike,Goading Strike,fight,1,damage,Power,1.35,Physical
gore,Gore,fight,1,damage,,,Physical;Healing
gore,Gore,fight,2,damage,,,Physical;Healing
gore,Gore,fight,3,damage,,,Physical;Healing
grab,Grab,root,1,damage,Speed,1,Physical
grab,Grab,root,2,damage,,,Stun
grab,Grab,root,2,status,Stun,,
grab,Grab,root,3,damage,,,
grandfinale,Grand Finale,root,2,damage,,,
gravescall,Grave's Call,root,1,damage,Focus,5.5,Dark
gravescall,Grave's Call,root,2,damage,Focus,2,Dark
greatshell,Great Shell,defend,1,damage,Discipline,5,
greatshell,Great Shell,defend,2,damage,,,
grenade,Grenade,root,1,damage,,,Physical;Fire
guardstrike,Guard Strike,root,1,damage,Power,0.66,Physical
guitarsolo,Guitar Solo,root,1,damage,,,Sonic
hack,Hack,root,1,damage,Focus,2,Stun
hack,Hack,root,1,status,Stun,,
hack,Hack,root,2,damage,,,Stun
hack,Hack,root,2,status,Stun,,
hack,Hack,root,4,damage,Focus,.75,Lightning
halt,Halt,fight,3,damage,,,
harmbeam,Beast Slayer,fight,1,damage,,,
harvest,Harvest,fight,1,damage,,,Physical
hatchmaggot,Hatch Maggot,enemy,1,summon,,,
hatchspiderling,Hatch Spiderling,enemy,1,summon,,,
haunt,Haunt,root,1,damage,Focus,0.5,Dark
haunt,Haunt,root,2,damage,,,
haymaker,Haymaker,root,1,damage,Power,1.35,Physical
haymaker,Haymaker,root,2,damage,,,
haymaker,Haymaker,root,3,damage,,,Stun
haymaker,Haymaker,root,3,status,Stun,,
healbeam,Heal Beam,drone,1,heal,,,
healingaria,Healing Aria,root,1,heal,,,
healingaria,Healing Aria,root,3,heal,,,
healingrain,Healing Rain,root,1,heal,,,
healingrain,Healing Rain,root,2,heal,,,
healingtonic,Healing Tonic,root,1,heal,,,
healingtonic,Healing Tonic,root,2,damage,,,Stun
healingtonic,Healing Tonic,root,2,status,Stun,,
healingvapors,Healing Vapors,root,1,damage,,,Poison
healingvapors,Healing Vapors,root,1,status,Poison,3turn,
healingvapors,Healing Vapors,root,3,heal,,,
healingwisp,Healing Wisp,root,1,summon,,,
healingwisp,Healing Wisp,root,2,stat_gain,your Focus,50%,
healingword,Healing Word,root,1,heal,,,
healingword,Healing Word,root,2,heal,,,
healwave,Heal Wave,drone,1,heal,,,
heatwaveskill,Heat Wave,enemy,1,damage,,,Fire
heatwaveskill,Heat Wave,enemy,2,damage,,,Lightning
heavyarmor,Heavy Armor,defend,1,grant,,,
heavyarmor,Heavy Armor,defend,2,damage,,,
heavycannon,Heavy Cannon,fight,1,damage,,,
heavycannon,Heavy Cannon,fight,1,status,Stun,,
heavyrocket,Heavy Rocket,enemy,1,damage,,,
hellclaws,Hellclaws,root,1,damage,Power,0.35,Physical
hex,Hex,fight,1,damage,,,
hex,Hex,fight,2,damage,,,
hex,Hex,fight,4,damage,Focus,3,Dark
hibernate,Hibernate,root,1,stat_gain,max HP and MP,50%,
hide,Hide,root,1,damage,,,
hide,Hide,root,2,damage,,,
hologram,Hologram,enemy,1,summon,,,
holoprojector,Holo Projector,enemy,1,summon,,,
holylance,Holy Lance,fight,1,damage,Power,1.25,Holy
holyrays,Holy Rays,root,2,damage,,,
holyshield,Holy Shield,root,1,damage,Focus,1,
holyshield,Holy Shield,root,2,damage,,,
holyshield,Holy Shield,root,2,heal,,,
holyshield,Holy Shield,root,4,damage,,,
holyshield,Holy Shield,root,4,heal,,,
holywrath,Holy Wrath,root,1,damage,Power,1,Physical;Holy
hook,Hook,root,1,damage,Power,0.5,Physical;Stun
hook,Hook,root,1,status,Stun,,
hook,Hook,root,2,damage,Power,0.5,Physical;Stun
hook,Hook,root,2,status,Stun,,
hotandsteamy,Hot and Steamy,enemy,1,damage,Power,1,Fire
howl,Howl,enemy,2,damage,,,
hyperbeam,Hyper Beam,root,1,damage,Power,2,Energy
hyperbeam,Hyper Beam,root,2,damage,,,Energy
hypeup,Hype Up,root,2,damage,,,
hypnotize,Hypnotize,defend,1,damage,,,Sleep
hypnotize,Hypnotize,defend,1,status,Sleep,3turn,
hypnotize,Hypnotize,defend,2,damage,,,
hypnotize,Hypnotize,defend,3,status,channeling,,
ice,Ice,root,1,damage,Focus,1.5,Ice
ice,Ice,root,2,damage,Focus,1,Stun
ice,Ice,root,2,status,Stun,,
ice,Ice,root,3,damage,,,
icespike,Ice Spike,root,1,damage,Focus,0.8,Ice
icevolley,Ice Volley,enemy,1,damage,,,Ice;Physical
icicle,Icicle,fight,1,damage,Focus,1,Ice
icyclaws,Icy Claws,fight,1,damage,,,Physical;Ice;Ice
icygrasp,Icy Grasp,enemy,1,damage,Power,0.5,Ice
illusion,Illusion,root,1,damage,,,
illusion,Illusion,root,3,damage,,,Spell
impale,Impale,root,1,damage,,,Physical
impale,Impale,root,2,damage,,,
impgrenade,Imp Grenade,enemy,1,damage,Power,0.5,Fire
implosion,Implosion,root,1,damage,,,
implosion,Implosion,root,2,heal,,,
implosion,Implosion,root,3,damage,,,
incision,Incision,root,1,damage,Power,0.85,Physical
incision,Incision,root,1,stat_mod,Endurance,-20%,
incision,Incision,root,2,damage,,,
infernalbreath,Infernal Breath,enemy,1,damage,Focus,2.0,Fire
injunction,Injunction,root,3,damage,Focus,0.35,MP
inspire,Inspire,root,3,heal,,,
intangible,Intangible,enemy,1,damage,,,
intimidate,Intimidate,root,1,damage,Power,1.5,Stun
intimidate,Intimidate,root,1,status,Stun,,
intimidate,Intimidate,root,2,damage,,,
invademind,Invade Mind,enemy,1,heal,,,
invigoratehusk,Invigorate Husk,enemy,1,grant,,,
invisiblewall,Invisible Wall,root,1,damage,,,
invisiblewall,Invisible Wall,root,3,damage,,,
invisiblewall,Invisible Wall,root,3,status,Shield,,
