skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source,computation,n_modifiers,mod_summary
amplify,Amplify,Amplify,-,drone,1,Doubles an ally's Power and Focus for one turn.,-,-,-,-,[0.2;0.4;0.6;1.2],pool,base_skill,0,
amputate,Amputate,Amputate,Amputate,root,3,"Revives an ally with 35% Max HP, but reduces target's attributes by 25% for the rest of battle.",Only lasts 3 turns,Can be dispelled,-,-,[0.25;0.35;0.75;2;3],json,,0,
analyze,Analyze,Analyze,Analyze,fight,3,"Target's HP, MP, and Attributes become visible in the status menu.",Deal 25% increased damage to target,Always hit target with skills,-,-,[0.25;1.0;2],json,base_skill,1,damage×1
animatecorpse,AnimateCorpse,Animate Corpse,-,enemy,0,-,-,-,-,-,[0.2;0.25;0.4;0.5;0.8;1.5;2.0;2.25;30.0;3],name-only,HealSkill,0,
annihilate,Annihilate,Annihilate,-,enemy,1,Deals 1x Power SkillType.Energy damage and increases Speed and Power.,-,-,-,-,[0.5;1.1],pool,,1,damage×1
annihilatorreload,AnnihilatorReload,Annihilator Reload,-,enemy,1,"Reloads Annihilator weapon, resetting speed.",-,-,-,-,-,pool,base_skill,0,
anthem,Anthem,Anthem,Anthem,root,3,Song. Increases Speed and Agility by 20% of OWNER.NAME's Technique for all allies.,Increases critical hit damage by 25%,Increases chance to dodge by 15%,-,-,[0.15;0.25;0.5;1.0;1.25;1.5;2.25;15.0;3;2],json,,1,damage×1
antibiotics,Antibiotics,Antibiotics,A.Biotics,root,1,Dispels all SkillType.Debuff on target every turn.,-,-,-,-,[0.5;0.75;2.0;30.0],json,,0,
aoeitem,AoEItem,AoE Item,-,root,0,-,-,-,-,-,[2],name-only,,0,
arborealaid,ArborealAid,Arboreal Aid,ArborAid,root,1,Access Arboreal Aid skills.,-,-,-,-,[2;7],pool,,0,
arcaneconduit,ArcaneConduit,Arcane Conduit,Arc.Conduit,root,3,"While active, force enemy SkillType.Spell skills to target you. Last 3 turns.",Enemies deal 50% less damage with SkillType.Spell skills,Enemies take 1x Focus SkillType.Energy damage on SkillType.Spell use,-,-,[0.01;0.075;0.175;0.25;0.5;1.0;1.05;1.5;2],json,,2,damage×2
arcaneglyphs,ArcaneGlyphs,Arcane Glyphs,-,root,1,Gain access to Spell modifying Glyph skills. Three uses.,-,-,-,-,[2;7;3],pool,,0,
arcticjet,ArcticJet,Arctic Jet,-,root,2,Deals 1.5x Focus SkillType.Physical and SkillType.Ice damage to enemies. Three turn charge.,Deals 1.5x Focus SkillType.Physical and SkillType.Ice damage to enemies.,-,-,-,[0.6;2.5],pool,,2,damage×2
armchainlaser,ArmChainLaser,Arm Chain Laser,-,defend,2,Arms a Chain Laser that deals SkillType.Energy damage with reduced turn delay per use.,Arms Chain Laser that deals SkillType.Energy damage with reduced turn delay.,-,-,-,-,pool,WeaponSkill,2,damage×2
armflamethrower,ArmFlamethrower,Arm Flmthrower,ArmFlamethrower,defend,2,Arms a Flamethrower that deals SkillType.Fire damage and adds burning to enemies in a column.,Arms a Flamethrower that deals SkillType.Fire damage.,-,-,-,-,pool,WeaponSkill,2,damage×2
armmissilepod,ArmMissilePod,Arm Missile Pod,Arm Msl Pod,defend,2,Arms a Missile Pod that deals SkillType.Physical damage randomly 8-12 times.,Arms a Missile Pod that deals SkillType.Physical damage 8-12 times.,-,-,-,-,pool,WeaponSkill,2,damage×2
armrailcannon,ArmRailCannon,Arm Rail Cannon,Arm Rail Cn,defend,1,Arms a Rail Cannon that deals piercing SkillType.Physical damage.,-,-,-,-,-,pool,WeaponSkill,1,damage×1
arsenal,Arsenal,Arsenal,-,defend,1,"Activate various integrated weapons, replacing primary attack skill.",-,-,-,-,[2;7;3],pool,base_skill,0,
assigntarget,AssignTarget,Assign Target,Target,root,3,Increases target's damage taken from OWNER.NAME by 25%. Limit of one Assigned Target.,"Attack target with OWNER.FIGHTNAME after it acts, if possible","If the target gains a Free Turn, gain one as well",-,-,[0.2;0.25;0.5;2;7;3],json,,1,damage×1
assist,Assist,Assist,Assist,defend,3,Assist target ally by also attacking their attack targets.,Assist target ally by also attacking their attack targets.,Assist target ally by also attacking their attack targets.,-,-,-,json,base_skill,0,
astralmagic,AstralMagic,Astral Magic,AstralMag,root,1,Access Astral Magic skills. Each use grants Astral stack.,-,-,-,-,[2;7],pool,,1,grant×1
atomize,Atomize,Atomize,-,enemy,1,Instantly destroys a summoned hero.,-,-,-,-,[0.2;0.25;0.35;0.4;0.5;1.5;1.6],pool,base_skill,0,
autocrossbow,AutoCrossbow,Auto Crossbow,Auto Crsbw,root,4,Deals 0.65x Power SkillType.Physical damage up to 6 times. Charges during Blood Trance.,Deals 0.75x Power SkillType.Physical damage up to 6 times. Charges during Blood Trance.,Deals 33% increased damage to Undead,Each hit increases damage by 10%,-,[1.33;3;2],pool,,4,damage×4
backhand,Backhand,Backhand,-,enemy,1,Deals SkillType.Physical and SkillType.Stun damage to an entire row.,-,-,-,-,-,pool,AddedDamageSkill,2,damage×1;status×1
balancedtools,BalancedTools,Balanced Tools,BalanceTls,city,1,Decreases target Wisdom.,-,-,-,-,[0.75],json,base_skill,0,
ballad,Ballad,Ballad,Ballad,root,3,Song. Increases Power and Toughness by 20% of OWNER.NAME's Technique for all allies.,Allies gain 1 Resist after their turn,Decreases damage taken by 15%,-,-,[0.25;0.85;1.0;1.25;2.2;2;3],json,,1,damage×1
balloon,Balloon,Balloon,Balloon,defend,3,Next damage misses target ally. Heals target for 10% Max HP when Balloon ends.,Enemy takes SkillType.Stun damage equal to healing,50% chance to remain active,-,-,[0.75],json,base_skill,4,damage×2;heal×1;status×1
banish,Banish,Banish,Banish,root,1,Banish undead to death.,-,-,-,-,[0.15;0.25;0.33;0.5;1.0;1.5;2.25;3],json,,0,
bankrupt,Bankrupt,Bankrupt,-,root,3,Remove all Debt stacks from enemy. Deals damage equal to 3 turns of Debt.,Deals damage equal to 4 turns,Deals damage equal to 5 turns,-,-,[2],pool,,3,damage×3
bargain,Bargain,Bargain,Bargain,root,3,"Bonus action. Share 35% of OWNER.NAME's attributes with target ally, but ally skips their turns. One use.",Ally deals 25% more damage and healing,Ally has 50% chance to not be downed,-,-,[0.25;0.35;50.0;2;3],json,,1,damage×1
barkskin,Barkskin,Barkskin,-,root,1,SkillType.Physical damage taken decreased by up to ,-,-,-,-,[0.5;1.2;3;2;4;5],pool,,1,damage×1
barricade,Barricade,Barricade,Barricade,enemy,1,"Randomly taunt 3 enemies and nullify up to 8 hits until next turn, reflecting SkillType.Physical damage back to melee attackers. 2 turn charge.",-,-,-,-,[3],json,base_skill,1,damage×1
bash,Bash,Bash,-,fight,3,Deals 1.35x Power SkillType.Physical and SkillType.Stun damage to an enemy.,SkillType.Stun damage increased by 50%,SkillType.Physical damage increased by 15%,-,-,[1.15;1.5;2;3],pool,AddedDamageSkill,5,damage×3;status×2
bashmaul,BashMaul,Bash Maul,-,fight,0,-,-,-,-,-,-,name-only,AddedDamageSkill,0,
batsfur,BatsFur,Bat's Fur,Bat's Fur,root,1,Deals 50-75 SkillType.Dark damage to target enemy.,-,-,-,-,-,json,,1,damage×1
batswarm,BatSwarm,Bat Swarm,-,root,0,-,-,-,-,-,[0.15;0.5;1.0;10.0;50.0],name-only,,0,
battlecry,BattleCry,Battle Cry,Battle Cry,root,3,Increase ally maximum HP by 350 for 5 turns.,Restore MP cost to allies on end,Heals allies for 350 HP on effect end,-,-,[0.015;0.1;0.15;0.2;1.0;1.7;16.0],json,,1,heal×1
bearswat,BearSwat,Bear Swat,-,root,2,Deals 1.33x Power SkillType.Physical damage and shifts target to the left or right. Also deals 66% damage to other shifted target.,"Deals 1.33x Pow SkillType.Physical damage, knocks target sideways.",-,-,-,[0.025;0.05;0.15;0.66;50.0;2;7;3;5],pool,,2,damage×2
beartrap,BearTrap,Bear Trap,Bear Trap,root,3,Target's next turn is interrupted. Cannot be resisted. One use. No effect on Bosses.,Target takes 35% HP SkillType.Physical damage when turn is interrupted by trap,50% chance to not be removed,-,-,[0.4;0.6;1.0;1.6;2.0;3],json,,1,damage×1
beatdown,BeatDown,Beat Down,-,root,4,Deals 0.6x Power SkillType.Physical damage to target enemy. Hits once for each stack of Resolve. Lose all Resolve stacks.,Deals 0.6x Power SkillType.Physical damage once per stack of Resolve.,Also deals 0.6x Power SkillType.Stun damage per hit,Lose all but 3 stacks of Resolve,-,[0.25;3;7],pool,,4,damage×3;status×1
belch,Belch,Belch,Belch,enemy,1,"Deals 1x Focus SkillType.Poison damage, damage over time, and decreases TGH by 25%. Stacks.",-,-,-,-,[0.25;0.3;0.5;0.75;1.0;1.5;3;2;4],json,base_skill,2,damage×1;status×1
bigslam,BigSlam,Big Slam,Big Slam,enemy,1,"Deals SkillType.Physical and SkillType.Stun damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",-,-,-,-,[-15.0;0.035;0.15;0.2;0.33;0.4;0.5;0.6;0.7;0.75;0.8;0.95;1.0;1.1;1.3;1.75;2.25;2.45;15.0;3;2;4],json,base_skill,3,status×2;damage×1
bigslamdigest,BigSlam_Digest,Big Slam_Digest,-,enemy,0,-,-,-,-,-,[0.2;0.5],name-only,base_skill,0,
binddarkimp,BindDarkImp,Bind Dark Imp,-,root,1,Channel to bind a Dark Imp next turn.,-,-,-,-,-,pool,,1,status×1
bindingritual,BindingRitual,Binding Ritual,Binding,root,3,Access the Imp Binding skills.,Increase Imp attributes by 35% of OWNER.NAME's Wisdom,Imps always hit with skills,-,-,[0.25;0.5;1.0;2;7],json,,0,
bindmageimp,BindMageImp,Bind Mage Imp,-,root,1,Channel to bind a Mage Imp next turn.,-,-,-,-,-,pool,,1,status×1
bindredimp,BindRedImp,Bind Red Imp,-,root,1,Channel to bind a Red Imp next turn.,-,-,-,-,-,pool,,1,status×1
biobomb,BioBomb,Biobomb,Biobomb,root,3,"Deals 75-125 SkillType.Poison damage, and 75-125 per turn for 5 turns. Always hits. One use per battle.",Reduces enemy healing by 50%,Enemies take 15% more damage,-,-,[0.15;0.5;1.5;2;3],json,,3,damage×2;status×1
biobombexplosion,BioBombExplosion,Bio Bomb Explosion,-,root,0,-,-,-,-,-,-,name-only,,0,
blazingslam,BlazingSlam,Blazing Slam,Blz Slam,enemy,1,"Deals SkillType.Fire damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",-,-,-,-,-,json,,2,damage×1;status×1
blessedwater,BlessedWater,Blessed Water,Blessed Wtr,root,3,Deals 15% Max HP SkillType.Holy damage to Undead enemy.,Prevents SkillType.Healing on target Undead enemy,Target Undead enemy dies immediately if Downed,-,-,[3],json,,1,damage×1
blessing,Blessing,Blessing,Blessing,defend,3,Bonus Action. Increases attributes of target ally by 20%. Limit one.,Target receives 20% increased healing,Target gains 1 Resist after their turn,-,-,[0.1;0.2;0.6;0.9;1.2;1.35;1.6;2;3],json,base_skill,0,
blind,Blind,Blind,Blind,defend,3,Target enemy's next direct hit damage always misses.,Next 2 hits,Next 3 hits,-,-,[0.15;0.25;1.5],json,base_skill,1,damage×1
blinded,Blinded,Blinded,Blinded,city,1,Decreases target Technique.,-,-,-,-,[0.75],json,base_skill,0,
blindingpowder,BlindingPowder,Blinding Powder,Blind Powder,root,3,Decreases target's chance to hit with next skill by 80%.,Lasts for three skills,Lasts for five skills,-,-,[0.2;1.0;2;3;4],json,,0,
blitzstance,BlitzStance,Blitz Stance,BltzStanc,root,3,Stance. Adds up to 0.5x Speed damage to SkillType.Attack skill damage. Disables Bonus Actions.,Increases Technique by 35% of Speed,SkillType.Attack skills have 35% less turn delay,-,-,[0.35;0.5;0.65;1.0;2;3],json,,2,damage×1;stat_mod×1
blizzard,Blizzard,Blizzard,-,root,1,Deals 0.5x Focus SkillType.Ice damage to random enemy targets up to 8 times.,-,-,-,-,[0.1;0.15;0.2;0.25;0.35;2.0;2.25],pool,,1,damage×1
block,Block,Block,Block,defend,3,"The next three times you take damage from SkillType.Attack skills, the damage is negated.",Lasts through four times taking damage,Lasts through five times taking damage,-,-,[5],json,base_skill,3,damage×3
bloodessence,BloodEssence,Blood Essence,-,root,3,"Heals self for up to Max HP, based on charge.",Allies gain 10% of healing done,Retain 25% of charge after use,-,-,[0.2;0.25;0.35;0.4;0.75],pool,,2,heal×1;stat_gain×1
bloodlet,Bloodlet,Bloodlet,Bloodlet,defend,3,Target ally takes 30% Max HP SkillType.Physical damage and loses all SkillType.Debuff effects.,Heals target after every turn for amount equal to 50% of initial damage dealt. Lasts 3 turns.,Negates Plague damage,-,-,[0.15;0.5;2;3;4],json,base_skill,4,damage×3;heal×1
bloodshield,BloodShield,Blood Shield,-,root,5,Create a shield that blocks up to 2.5x Focus damage taken by target ally. Sacrifice HP when shield blocks damage.,Sacrifice HP to block up to 2.5x FCS damage taken by target ally.,Shield strength gains 10% of current HP when cast,Ally gains 3 resist stacks,All attributes increased.,[0.25;0.4;0.5;1.25;2;3;4],pool,,4,damage×2;stat_gain×1;status×1
bloodsuck,Bloodsuck,Bloodsuck,-,enemy,1,"Deals 1.0x Power SkillType.Physical damage, restores HP based on damage dealt, causes bleeding, and decreases target's Healing received by 50%.",-,-,-,-,[0.5;2;3;4;5],pool,base_skill,1,damage×1
bloodtrance,BloodTrance,Blood Trance,-,defend,2,Sacrifice 20% HP every turn and increase damage with SkillType.Attack skills by 35%. Togglable.,Heal by 25% of damage dealt with SkillType.Attack skills,-,-,-,[-0.2;0.1;0.2;0.25;0.3;0.35;0.5;0.85;0.95;1.25;1.5;2;3],pool,base_skill,3,damage×2;heal×1
bloom,Bloom,Bloom,-,root,3,"Taunts a random enemy, forcing them to target OWNER.NAME for 3 turns.",Heals all allies' HP and MP for 0.25x Focus,"If Take Root is active, MP cost 0 and triggers automatically at end of turn",-,-,[0.15;0.35;0.85;1.25;2;3],pool,,1,heal×1
boarspirit,BoarSpirit,Boar Spirit,-,root,2,Summon a Boar Spirit that uses Gore on enemies.,Allies take 15% less damage while active,-,-,-,[0.25;2;7;3],pool,,2,summon×1;damage×1
boast,Boast,Boast,-,enemy,1,Bonus Action. Increase Focus by 15% and taunt 3 random targets.,-,-,-,-,[0.15;0.3;0.45;0.6;1.0;1.15;1.5],pool,base_skill,1,stat_mod×1
bodyblows,BodyBlows,Body Blows,-,root,2,Deals 0.75x Power SkillType.Physical damage to target enemy 2 times.,Reset target's current turn progress to zero if both hits land,-,-,-,[0.01;0.15],pool,,1,damage×1
bodyslam,BodySlam,Body Slam,-,enemy,0,-,-,-,-,-,[0.035;0.15;0.2;0.4;0.5;0.6;0.75;0.8;0.95;1.0;1.1;1.3;1.75;2.25;2.45],name-only,base_skill,0,
boltgun,Boltgun,Boltgun,-,root,1,Deals 0.66x MP SkillType.Physical damage to target enemy.,-,-,-,-,[0.5;0.66;1.5],pool,,1,damage×1
bombpunch,BombPunch,Bomb Punch,Bomb Pnch,enemy,1,Deals 1x Power SkillType.Physical and 1x Focus SkillType.Fire damage to enemies.,-,-,-,-,[0.01;0.125;0.25;0.3;0.35;0.475;0.625;1.375;1.525],pool,base_skill,1,damage×1
boneshield,BoneShield,Bone Shield,Bone Shld,defend,3,Blocks up to 2.5x Toughness damage taken. Sacrifice 10% of current HP.,Attackers take 1x Toughness SkillType.Physical damage,Attackers take SkillType.Physical damage.,-,-,[0.25;0.4;0.5;1.25;2;3;4],pool,base_skill,3,damage×3
booming,Booming,Booming,-,root,0,-,-,-,-,-,[0.35;0.7;1.0;1.4;12.0],name-only,,0,
boomkit,Boomkit,Boomkit,Booms become level 2,root,1,Bonus action. Access explosive gadgets.,-,-,-,-,[2;7],pool,,0,
bramblebulwark,BrambleBulwark,Vine Guard,Vine Guard,enemy,3,Redirect damage taken by unprotected allies onto yourself until your next turn.,Increases next turn delay,Converts some taken damage to SkillType.Stun,-,-,-,json-size,,3,damage×2;status×1
breakbones,BreakBones,Break Bones,Brk Bones,root,3,Deals 1.35x Power SkillType.Physical damage and lowers target's highest Attribute by 25% for 3 turns.,Decreases healing received by 25%,Lasts entire battle,-,-,[0.015;0.15;0.2;0.25;0.75;1.0;2],json,,1,damage×1
breakice,BreakIce,Break Ice,-,root,3,Deals 0.75x Focus SkillType.Ice damage per Frostbite stack. Consumes Frostbite.,Deals 0.75x Focus SkillType.Ice damage per Frostbite stack.,Consumed Frostbite stacks are spread to other enemies with Frostbite,-,-,[0.8;1.5;2;3],pool,,2,damage×2
brewingstorm,BrewingStorm,Brewing Storm,Brewing Storm,enemy,1,"Enemies take 1x Focus SkillType.Lightning damage every turn, but costs MP.",-,-,-,-,[0.1;0.15;0.25;1.0;1.15],json,base_skill,1,damage×1
bsod,BSOD,BSOD,-,enemy,1,Deals 3.0x Focus SkillType.Lightning damage to all enemies whenever an AI node is destroyed.,-,-,-,-,[0.5;1.5;1.75;2.5;4],pool,base_skill,1,damage×1
buboburst,BuboBurst,Bubo Burst,-,root,2,Remove all Plague stacks from ally. Spreads Plague stacks to enemies.,Heals ally for 5% Max HP for each stack,-,-,-,[0.25],pool,,1,heal×1
buffer,Buffer,Buffer,-,enemy,1,Increases CENCOM's forcefield strength by 1x Focus.,-,-,-,-,[0.25],pool,base_skill,0,
bulletpunch,BulletPunch,Bullet Punch,-,enemy,1,"Deals 0.1x Power SkillType.Physical and SkillType.Stun damage to target enemy 10 times, followed by a 1x Focus damage SkillType.Lightning strike.",-,-,-,-,[0.01;0.15;0.25],pool,base_skill,3,damage×2;status×1
bulwark,Bulwark,Bulwark,Bulwark,root,3,Redirects 25% of damage taken by allies onto yourself until your next turn.,Reduces ally damage taken from hits by 20%,Increases redirect to 35%,-,-,[5],json,,2,damage×2
burn,Burn,Burn,Burn,enemy,3,Deals 0.35x Focus SkillType.Fire damage immediately and over time for 3 turns. Max 3 stacks.,Refreshes all stacks on hit,Max 5 stacks,-,-,[0.85;2;3;4],json,base_skill,1,damage×1
burningfist,BurningFist,Burning Fist,BurnFist,root,3,Deals 0.8x Power SkillType.Physical and SkillType.Fire damage to target enemy.,Deals 0.4x Power SkillType.Fire damage over time for 3 turns,Damage over time increased to 0.6x Power damage,-,-,[0.01;0.15;0.5;0.85;1.5;2;3],json,,3,damage×3
callbomb,CallBomb,Call Bomb,-,enemy,1,Summons a sapper drone into a free party space.,-,-,-,-,-,pool,base_skill,1,summon×1
callcultist,CallCultist,Call Cultist,-,enemy,1,Summons another cultist of a random type to a free party space.,-,-,-,-,[3],pool,base_skill,1,summon×1
calldrone,CallDrone,Call Drone,-,enemy,1,Summons another drone into a free party space.,-,-,-,-,-,pool,base_skill,1,summon×1
callforbackup,CallForBackup,Call For Backup,Call Backup,root,3,Summon a random reserve party member with full stamina for 3 turns.,Summon a random reserve party member for 3 turns.,MP cost decreased by 25%,-,-,[0.25;3],pool,,2,summon×2
callguardian,CallGuardian,Call Guardian,-,enemy,1,Summons a guardian into a free front row party space.,-,-,-,-,[2;5],pool,base_skill,1,summon×1
callimp,CallImp,Call Imps,CallImp,enemy,1,"Summons up to 3 imps to free party spaces, up to a maximum of 6 imps.",-,-,-,-,[3;5],pool,base_skill,1,summon×1
callnurse,CallNurse,Call Nurse,-,root,2,Summon a Nurse that uses Treat at the same level as Ramesh. Lasts 5 turns.,Nurse healing adds to Insurance,-,-,-,[0.25;3;2],pool,,1,summon×1
callscorpion,CallScorpion,Call Scorpion,-,enemy,1,Summons another scorpion into the front row.,-,-,-,-,[2;5],pool,base_skill,1,summon×1
callspiderlings,CallSpiderlings,Call Spiderlings,-,enemy,1,Summons up to 3 spiderlings into empty spots.,-,-,-,-,[3],pool,base_skill,1,summon×1
callspirits,CallSpirits,Call Spirits,-,enemy,1,Summons up to 3 Will-o'-the-Wisps into empty spots.,-,-,-,-,[3],pool,base_skill,1,summon×1
callswarmer,CallSwarmer,Call Swarmer,-,enemy,1,Bonus Action. Summons a Swarmer to a free party space.,-,-,-,-,-,pool,base_skill,1,summon×1
callundead,CallUndead,Call Undead,-,enemy,1,Summons a zombie or will o wisp to an empty front row party spot.,-,-,-,-,[50.0;2;5],pool,base_skill,1,summon×1
callvoidzombie,CallVoidZombie,Call Void,CallVoidZombie,enemy,1,Summons a Void Zombie to an empty front row party spot.,-,-,-,-,[2;5],pool,base_skill,1,summon×1
callwolf,CallWolf,Call Wolf,-,enemy,1,Summons another wolf to the front row.,-,-,-,-,[2;5],pool,base_skill,1,summon×1
caltrops,Caltrops,Caltrops,Caltrops,root,3,Deals 100-125 SkillType.Physical damage when enemies use SkillType.Melee skills. Ends after being triggered 5 times.,50% chance to interrupt non-boss enemy's skill when triggered,Adds a stack of Envenom when triggered,-,-,[1.0;50.0;2],json,,1,damage×1
canabite,CanaBite,Cana Bite,-,fight,0,-,-,-,-,-,[0.2;0.65;3;2],name-only,base_skill,0,
cardthrow,CardThrow,Card Throw,Card Throw,fight,3,Deals 1.0x Technique SkillType.Physical damage to target enemy. More effects based on chosen suit.,"Deals 50% of damage as SkillType.Physical damage over time for 3 turns, up to 3 stacks",Deals double critical hit damage,-,-,[2;7;3;4],json,base_skill,3,damage×3
cardthrowclub,CardThrowClub,Card Throw Club,-,fight,1,Damage dealt increased by 50%.,-,-,-,-,-,pool,,1,damage×1
cardthrowdiamond,CardThrowDiamond,Card Throw Diamond,-,fight,1,Turn delay decreased by 50%.,-,-,-,-,-,pool,,0,
cardthrowheart,CardThrowHeart,Card Throw Heart,-,fight,1,Heal self for 50% of damage dealt.,-,-,-,-,[0.5],pool,,2,damage×1;heal×1
cardthrowspade,CardThrowSpade,Card Throw Spade,-,fight,1,"Damage decreased by 50%, but hits all targets in the row.",-,-,-,-,-,pool,,1,damage×1
cardthrowsubskill,CardThrowSubskill,Card Throw,CardThrowSubskill,fight,0,-,-,-,-,-,[0.4;1.0;3],name-only,base_skill,0,
carnage,Carnage,Carnage,Carnage,enemy,1,All allies gain 50% turn progress and instability increases. Enemies are confused and gain 100% increased Power.,-,-,-,-,[0.015;0.15;0.5;0.65;12.0;26.0;48.0;7;2],json,base_skill,0,
cauldron,Cauldron,Cauldron,-,root,2,Cast various spells by using Reagents.,Access Cauldron Spells.,-,-,-,[0.5;2;7],pool,,0,
cauterize,Cauterize,Cauterize,Cauterize,root,3,Dispels all SkillType.Debuff from target ally. Deals 10% Max HP SkillType.Fire damage to target for each SkillType.Debuff dispelled.,Increases target's Toughness by 15% for 3 turns,Increases target's Endurance by 15% for 3 turns,-,-,[0.6;1.15;2],json,,3,stat_mod×2;damage×1
cencomrepair,CencomRepair,Cencom Repair,-,enemy,1,Heals CENCOM for 1.75x Focus.,-,-,-,-,[0.2;0.4;0.6;1.0],pool,HealSkill,1,heal×1
chainlaser,ChainLaser,Chain Laser,-,fight,2,"Deals 0.5x Power SkillType.Energy damage up to 4 times in an area. Decreased turn delay after each use, until reload after 6 uses.",Deals 0.5x Power SkillType.Energy damage up to 4 times in an area. Reload after 6 uses.,-,-,-,[0.1],pool,Firearm,2,damage×2
chainlightning,ChainLightning,Chain Lightning,-,root,2,"Deals 1.0x Focus SkillType.Lightning damage to target, jumping to adjacent targets up to 3 times.","Deals 1.0x Focus SkillType.Lightning damage to target, chaining up to 3 times.",-,-,-,[0.01;0.015;0.15;0.5;1.5;2.0;2.5;3;2],pool,,2,damage×2
chainlightninglich,ChainLightningLich,Chain Lightning,Chain Ltng,defend,2,"Deals 1x Focus SkillType.Lightning damage to target, jumping to adjacent targets up to 3 times for 50% damage.","Deals 1x Focus SkillType.Lightning damage to target, chaining up to 3 times.",-,-,-,[0.01;0.15;2.0],pool,base_skill,2,damage×2
chainsaw,Chainsaw,Chainsaw,Chainsaw,root,3,Deals 200-250 piercing SkillType.Physical damage to target enemy. Three uses per battle.,Damage increased randomly up to 5-10% of target's current HP,Halves target's healing received,-,-,[0.004;0.05;0.1;0.2;0.35;0.4;0.45;0.5;0.6;0.7;0.8;1.25;1.75;2.0;12.0;16.0;38.0;3;2],json,,2,damage×2
