id,name,shortName,type,rarity,negative,menuProcessing,description,shortDescription,exclusions,iconDescription,effectDescription,targetIconDescription,longDescription,skipCharacters,shortDesciption,targetEffectDescription,effectName,category,param,possible_match
pillbottle,Pill Bottle,Pill Bottle,-,-,-,-,"[""Increases damage and healing by 25% when under the effects of SkillType.Alcohol skills.""]",Increases damage and healing while drunk.,-,"{""attack_up"": ""Increased damage and healing.""}",-,-,-,-,-,-,-,,[0.2],relic:PillBottle
timebreakroulette,Time Break Roulette,Break Roulette,party,1,false,-,Time Break Techs have a 10% chance to take 0 particles.,Time Break Techs have a 10% chance to take 0 particles.,-,-,-,-,-,-,-,-,-,,-,-
bloodycloth,Bloody Cloth,Bld Cloth,-,-,-,-,"[""Sacrificing HP increases Endurance based on percent sacrificed, up to +150.""]","Sacrificing HP increases Endurance, up to +150.",-,"{""endurance_up"": ""Endurance increased.""}",-,-,-,-,-,-,-,,-,relic:BloodyCloth
trainerswhip,Trainer's Whip,Trn Whip,-,-,-,-,"[""SkillType.Attack skill hits decrease enemy TGH and DSC by 10% for 3 turns. Stacks. 2x effect vs Beasts. Grants Whip.""]",SkillType.Attack hits decrease enemy TGH/DSC by 10% for 3 turns. 2x vs Beast.,-,"{""toughness_down"": ""Toughness decreased."", ""discipline_down"": ""Discipline decreased.""}",-,-,-,-,-,-,-,,-,relic:GhalibsWhip
vineguard,Vine Guard,Vine Guard,-,-,-,-,"[""Redirect damage taken by unprotected allies onto yourself until your next turn."", ""Increases next turn delay"", ""Converts some taken damage to SkillType.Stun""]",-,-,"{""protect"": ""Redirects damage taken by allies and prevents them being downed."", ""no_death"": ""Cannot be downed.""}",-,-,-,-,-,-,-,,-,-
morphcore,Morph Core,Morph Core,-,-,-,-,"[""Negates first 2 instances of damage taken each battle. Resets if downed and revived.""]",Negates first 2 instances of damage taken. Resets if revived.,-,"{""nullify"": ""Next direct damage taken is nullified.""}",-,-,-,-,-,-,-,,-,relic:MorphCore
tanksglove,Tank's Glove,Tank's Glove,-,-,-,-,"[""Gain +25 Power for 3 turns when missing with a SkillType.Attack skill hit. Grants Clobber skill.""]",Gain +25 Power when missing with a SkillType.Attack skill. Grants Clobber.,-,"{""power_up"": ""Power increased.""}",-,-,-,-,-,-,-,,[25.0],relic:TanksGlove
romancassis,Roman Cassis,Roman Cassis,-,-,-,-,"[""Increase Power by +10 whenever OWNER.NAME dodges, up to 15 stacks.""]","Increases Power by +10 whenever you dodge, up to 15 stacks.",-,"{""power_up"": ""Power increased.""}",-,-,-,-,-,-,-,,[10.0],relic:RomanCassis
roar,Roar,Roar,-,-,-,-,"[""Deals SkillType.Stun damage and increases speed and power.""]",-,-,"{""speed_up"": ""Speed increased."", ""power_up"": ""Power increased.""}",-,-,-,-,-,-,-,,-,-
nanomeds,Nano-Meds,Nano-Meds,-,-,-,-,"[""Fully restores the HP of target ally and dispels all SkillType.Debuff."", ""Grants HP Regen for 3 turns."", ""Regen ends but target is revived if they are downed.""]",Fully restores the HP of target ally and dispels all SkillType.Debuff.,-,"{""hp_regen"": ""Restore some HP after every turn."", ""revive"": ""End effect, but automatically be revived if downed.""}",-,-,-,-,-,-,-,,-,-
jacksrum,Jack's Rum,Jack's Rum,-,-,-,-,"[""Increases all attributes by 15% when under the effects of SkillType.Alcohol skills. Grants Rum skill.""]",Increases all attributes while drunk. Grants Rum skill.,-,"{""all_up"": ""All attributes increased.""}",-,-,-,-,-,-,-,,[1.15],relic:JacksRum
enragedbeasts,Enraged Beasts,Enraged Beasts,party,0,true,-,Beast enemies Frenzy at start of battle: Increases Speed by 50% and damage by 35% for 3 turns.,Beast enemies Frenzy at start of battle.,-,-,-,-,-,-,-,-,-,,-,-
h4rmemitter,H4RM Emitter,H4RM Emtr,-,-,-,-,"[""Increases Focus by +10 after each hit with a SkillType.Gadget skill, up to 10 stacks. Grants H4RM Beam skill.""]",Increases Focus for each hit with SkillType.Gadget. Grants H4RM Beam skill.,-,"{""focus_up"": ""Focus increased.""}",-,-,-,-,-,-,-,,[10.0],relic:H4RMEmitter
rupertsgavel,Rupert's Gavel,Rupert's Gavel,-,-,-,-,"[""SkillType.Attack skill hits decrease enemy Power by 5% for three turns. Stacks. Grants Judgment skill.""]",SkillType.Attack skill hits decrease enemy POW by 5% for 3 turns. Grants Judgment.,-,"{""power_down"": ""Power decreased.""}",-,-,-,-,-,-,-,,[0.95],relic:RupertsGavel
spoilsofwar,Spoils of War,Spoils,party,2,false,-,Gain 25% more particles from battles.,Gain 25% more particles from battles.,-,-,-,-,-,-,-,-,-,,-,-
revengetoken,Revenge Token,Revenge Token,-,-,-,-,"[""Increases Power by 20%, but decreases Endurance by 10%, after being revived. Stacks up to 10 times.""]","Increases Power, but decreases Endurance, after being revived.",-,"{""power_up"": ""Power increased."", ""endurance_down"": ""Endurance decreased.""}",-,-,-,-,-,-,-,,-,relic:Revenge
isolateexe,isolate.exe,isolate.exe,-,-,-,-,"[""Target non-boss cannot act or be shifted for 3 turns, and takes 1x Focus SkillType.Lightning damage every turn. 1 use.""]","Target cannot act or be shifted for 3 turns, and takes SkillType.Lightning damage every turn.",-,"{""agility_zero"": ""Agility reduced to zero."", ""interrupt"": ""Cannot act."", ""rooted"": ""Cannot be shifted."", ""lightning"": ""Take SkillType.Lightning damage after every turn.""}",-,-,-,-,-,-,-,,-,-
unstoppableanomalies,Unstoppable Anomalies,ThickAnomaly,party,0,true,-,Anomaly enemies gain Thick Skull trait: Immune to SkillType.Stun damage.,Plant enemies gain Thick Skull trait.,-,-,-,-,-,-,-,-,-,,-,-
mercilessplants,Merciless Plants,MeanPlants,party,0,true,-,Plant enemies gain Merciless trait: Deal 50% increased damage against critical HP enemies.,Plant enemies gain Merciless trait.,-,-,-,-,-,-,-,-,-,,-,-
particlebeacon,Particle Beacon,Beacon,party,3,false,-,"Enemy attributes are increased, but gain 20% more particles from battle rewards.","Enemy attributes are increased, but gain 20% more particles from battles.",-,-,-,-,-,-,-,-,-,,-,-
inquisitorsmask,Inquisitor's Mask,Inqstr Mask,-,-,-,-,"[""Increases Wisdom by +10 after applying a SkillType.Debuff, up to 10 stacks. Grants Strike Fear skill.""]",Increases WIS by +10 after applying a SkillType.Debuff. Grants Strike Fear.,-,"{""wisdom_up"": ""Wisdom increased.""}",-,-,-,-,-,-,-,,[10.0;3],relic:InquisitorsMask
offering,Offering,Offering,-,-,-,-,"[""Bonus Action. Sacrifice 20% of current HP."", ""Increase damage and healing of next skill by 25%"", ""Dispel 3 SkillType.Debuff effects""]",-,-,"{""attack_up"": ""Damage and healing of next skill increased.""}",-,-,-,-,-,-,-,,-,-
calm,Calm,Calm,-,-,-,-,"[""Bonus Action. Prevents Chaos Storm and increases Technique by 50%."", ""Increases Wisdom by 50%"", ""Doubles MP regeneration""]",-,-,"{""concentrate"": ""Calm active."", ""technique_up"": ""Technique increased."", ""wisdom_up"": ""Wisdom increased."", ""mp_regen"": ""MP Regeneration increased.""}",-,-,-,-,-,-,-,,-,-
trashtalker,Trash Talker,Trash Tlk,-,-,-,-,"[""Steal 25% of Speed from all Taunted enemies."", ""Take 25% less damage from Taunted enemies"", ""Deal 35% increased damage to Taunted enemies""]",-,-,"{""speed_down"": ""Speed decreased.""}",-,-,-,-,-,-,-,,-,-
scoutsflag,Scout's Flag,Scout Flag,-,-,-,-,"[""Gain 100% increased Speed for the first turn of battle.""]",Gain 100% increased Speed for first turn.,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,relic:MasterScout
allbark,All Bark,All Bark,party,0,true,-,Cultist enemies gain Barkskin at start of battle: Blocks up to 0.5x Focus SkillType.Physical damage taken for 3 turns.,Cultist enemies gain Barkskin at start of battle.,-,-,-,-,-,-,-,-,-,,-,-
redballoon,Red Balloon,Red Bloon,-,-,-,-,"[""Negates first direct damage taken after each turn. Grants Balloon skill.""]",Negates first damage taken after each turn. Grants Balloon skill.,-,"{""nullify"": ""Next direct damage taken is nullified.""}",-,-,-,-,-,-,-,,-,relic:RedBalloon
wallofice,Wall of Ice,Wall of Ice,-,-,-,-,"[""Redirect damage taken by target ally onto yourself.""]",-,-,-,"[""Direct damage taken by unprotected allies redirected onto Effect.Owner.""]",-,-,-,-,"[""Direct damage taken is redirected onto Effect.Owner."", ""Direct damage taken is redirected onto Effect.Owner."", ""Direct damage taken is redirected onto Effect.Owner.""]",-,,-,-
sethstoxin,Seth's Toxin,Seth's Toxin,-,-,-,-,"[""When hit by an SkillType.Attack skill, attacker takes  5% Max HP SkillType.Poison damage over time for 3 turns. Stacks.""]","When hit by an SkillType.Attack skill, deals up to 5% Max HP SkillType.Poison damage over time.",-,"{""poison"": ""Take SkillType.Poison damage every turn.""}",-,-,-,-,-,-,-,,[0.05;3],relic:SethsToxin
imparmytactics,Imp Army Tactics,Imp Army,party,0,true,-,Imp enemies gain All For One trait: Gain 5% of all attributes from all allies.,Imp enemies gain All For One trait.,-,-,-,-,-,-,-,-,-,,-,-
elecrifiedcultists,Elecrified Cultists,Electric Cult,enemy,0,true,-,Cultists cast Discharge when downed: Deal SkillType.Lightning damage to all enemies.,Cultists cast Discharge when downed.,-,-,-,-,-,-,-,-,-,,-,-
trainerssigil,Trainer's Sigil,Trn Sigilg,-,-,-,-,"[""This hero's summon gains 50% increased speed for 3 turns after summoning.""]",This hero's summon gains 50% increased SPD for 3 turns.,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,[0.75;1.5],relic:TrainersSigil
bite,Bite,Bite,-,-,-,-,"[""Deals 0.5x Power SkillType.Physical damage 3 times."", ""Each hit deals 0.5x Power SkillType.Physical damage over time for 2 turns. Stacks."", ""Each hit decreases SkillType.Healing received by 35% for 2 turns""]",-,-,"{""bleed"": ""Take SkillType.Physical damage every turn."", ""heal_down"": ""Decreased SkillType.Healing received.""}",-,-,-,-,-,-,-,,-,-
soulpod,Soul Pod,Soul Pod,-,-,-,-,"[""Blocks all damage and absorbs allies when downed.""]",-,-,"{""nullify"": ""Nullifies all damage and effects."", ""death"": ""Absorbed by Xendros when downed.""}",-,-,-,-,-,-,-,,-,-
engarde,En Garde,En Garde,-,-,-,-,"[""Automatically Taunt target after using Disarm."", ""Taunted enemies have a 50% chance to miss you"", ""Automatically Lunge after Taunted targets turn""]",-,-,-,"[""Forced to attack Effect.Owner."", ""Forced to attack Effect.Owner, decreased damage to others."", ""Forced to attack Effect.Owner, decreased damage to others. Chance to lose control.""]",-,-,-,-,-,-,,[50.0;3;2],-
dkwordweakness,Dk Word: Weakness,Weakness,-,-,-,-,"[""Bonus Action. Decreases target's damage dealt by 15% for 3 turns."", ""Target has a 25% chance to miss"", ""Target cannot critically hit""]",-,-,"{""attack_down"": ""Decreased damage dealt."", ""accuracy_down"": ""Chance to hit decreased."", ""crit_chance_zero"": ""Cannot critically hit.""}",-,-,-,-,Bonus Action. Decreases target's damage dealt by 15% for 3 turns.,-,-,,-,-
dkwordsloth,Dk Word: Sloth,Sloth,-,-,-,-,"[""Bonus Action. Decreases target's Speed by 25% for 3 turns."", ""Decreases target's Agility by 25%"", ""Target has 25% chance to be interrupted""]",-,-,"{""speed_down"": ""Speed decreased."", ""agility_down"": ""Agility decreased."", ""interrupt"": ""25% chance next turn is interrupted.""}",-,-,-,-,Bonus Action. Decreases target's Speed by 25% for 3 turns.,-,-,,-,-
ancientsprotection,Ancient's Protection,Ancient Prt,party,0,true,-,Enemies take 15% decreased damage.,Enemies take 15% decreased damage.,-,-,-,-,-,-,-,-,-,,-,-
curtisrhythm,Curtis' Rhythm,CurtisRhythm,-,-,-,-,"[""Every other SkillType.Attack skill deals 50% increased damage.""]",Every other SkillType.Attack skill deals 50% increased damage.,-,"{""attack_up"": ""Next SkillType.Attack skill damage increased.""}",-,-,-,-,-,-,-,,[0.5],relic:CurtisRhythm
carnivorousplants,Carnivorous Plants,CarnivorePlants,party,0,true,-,Plant enemies gain Predator trait: Increases Power by up to 100% based on current health.,Plant enemies gain Predator trait.,-,-,-,-,-,-,-,-,-,,-,-
painlimiter,Pain Limiter,Pain Lmtr,-,-,-,-,"[""Sacrificing HP increases Focus based on percent sacrificed, up to +100.""]","Sacrificing HP increases Focus, up to +100.",-,"{""focus_up"": ""Focus increased.""}",-,-,-,-,-,-,-,,-,relic:PainLimiter
callofthevoid,Call of the Void,Call of Void,party,0,true,-,Anomaly enemies gain Last Gasp at start of battle: Automatically take an extra turn when downed.,Anomaly enemies gain Last Gasp.,-,-,-,-,-,-,-,-,-,,-,-
turno,Turno,Turbo,-,-,-,-,"[""All allies gain 100% increased speed for 1 turn and grants a random ally a free turn.""]",-,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,-
angelsfeather,Angel's Feather,Angel Fthr,-,-,-,-,"[""Prevents being downed and casts Holy Shield on self when critical, once per battle.""]",Prevents downed and gain Holy Shield. Once per battle.,-,"{""no_death"": ""Prevents being downed by damage.""}",-,-,-,-,-,-,-,,-,relic:AngelsWing
bluepollen,Blue Pollen,Blue Pollen,-,-,-,-,"[""Power decreased by 15%. Spreads to another ally or enemy every turn.""]",-,-,"{""attack_up"": ""Damage dealt increased. Spreads to another ally or enemy every turn.""}",-,-,"Enemies deal 15% decreased damage, but allies deal 15% more damage. Spreads to another ally or enemy every turn.",-,-,-,-,,-,-
burrow,Burrow,Burrow,-,-,-,-,"[""Prevents user from being hit and deals large SkillType.Physical damage next turn."", ""Prevents user from being hit and deals large SkillType.Physical damage next turn."", ""Prevents user from being hit and deals large SkillType.Physical damage next turn.""]",-,-,"{""burrow"": ""Cannot be hit by attacks. deals large SkillType.Physical damage next turn.""}",-,-,-,-,-,-,-,,-,-
frozenkick,Frozen Kick,Frozen Kick,-,-,-,-,"[""Deals 1.2x Power SkillType.Physical and SkillType.Ice damage to target enemy."", ""Decreases target's Toughness by 35% for 3 turns"", ""Increases SkillType.Fire SkillType.Lightning and SkillType.Ice damage taken by target by 35%""]",-,-,"{""toughness_down"": ""Toughness decreased."", ""block_fire_down"": ""Increased SkillType.Fire damage taken."", ""block_lightning_down"": ""Increased SkillType.Lightning damage taken."", ""block_ice_down"": ""Increased SkillType.Ice damage taken.""}",-,-,-,-,-,-,-,,-,-
antidote,Antidote,Coffee,-,-,-,-,"[""Dispels SkillType.Poison effects from target and grants SkillType.Poison immunity for 5 turns.""]",Dispels SkillType.Poison effects. Grants SkillType.Poison immunity for 5 turns.,-,"{""nullify_poison"": ""Taken SkillType.Poison damage is nullified and SkillType.Poison effects are resisted.""}",-,-,-,-,-,-,-,,-,-
bluntedweaponry,Blunted Weaponry,Blunt Weaponry,party,1,true,-,Allies suffer 50% decreased critical hit chance with SkillType.Melee attacks.,Decrease critical hit chance with SkillType.Melee attacks.,"[""HonedEdge""]",-,-,-,-,-,-,-,-,,-,-
burst,Burst,Burst,-,-,-,-,"[""Poisons all enemies when Downed.""]",-,-,"{""poison"": ""Take SkillType.Poison damage after every turn.""}",-,-,-,-,-,-,-,,-,-
combathelmet,Combat Helmet,C. Helmet,-,-,-,-,"[""Damage taken cannot be critical damage.""]",Damage taken cannot be critical damage.,-,-,-,-,-,-,-,-,-,,-,relic:CombatHelmet
turbocharged,Turbo Charged,Turbo,-,-,-,-,"[""Gain +50 Speed every turn.""]",-,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,-
asarielshalo,Asariel's Halo,Asariel Halo,-,-,-,-,"[""Healed allies receive 15% increased healing for 3 turns. Grants Mend skill.""]",Healed allies receive +15% healing for 3 turns. Grants Mend skill.,-,"{""heal_up"": ""Increased healing received.""}",-,-,-,-,-,-,-,,-,relic:AsarielsTouch
defragexe,defrag.exe,defrag.exe,-,-,-,-,"[""Increases CENCOM's Focus and Speed by +20.""]",-,-,"{""focus_up"": ""Focus increased."", ""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,-
sulfuricair,Sulfuric Air,Sulfuric Air,enemy,0,true,-,Demons gain Flame Wreath: Blocks SkillType.Melee damage and deals SkillType.Fire damage to attackers. Activates at less than 50% HP.,Demon enemies gain Flame Wreath at less than 50% HP.,-,-,-,-,-,-,-,-,-,,-,-
gathershadows,Gather Shadows,Gather,-,-,-,-,"[""Unleashes a Shadow Driver after 1 turn. Channeled. Damage taken from hits while channeling is decreased by 50% and is added to Shadow Driver's damage."", ""Shadow Driver also damages adjacent enemies for 50%"", ""Shadow Driver always hits""]",Unleashes a Shadow Driver after 1 turn. Reduces damage taken from hits by 50%.,-,"{""channel"": ""Gathering dark energy. Releases a powerful attack that returns damage taken."", ""block_up"": ""Decreases damage taken.""}",-,-,-,-,-,-,-,,-,-
ghostlycult,Ghostly Cult,Ghostly Cult,party,0,true,-,Cultist enemies gain Ethereal at start of battle: Immune to damage until first turn.,Cultist enemies gain Ethereal at start of battle.,-,-,-,-,-,-,-,-,-,,-,-
debugexe,debug.exe,debug.exe,-,-,-,-,"[""Converts up to 3 SkillType.Debuff on CENCOM to +20 Focus/Speed SkillType.Buff instead.""]",-,-,"{""focus_up"": ""Focus increased."", ""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,-,-
plagueknife,Plague Knife,Plague Knife,-,-,-,-,"[""Hits with SkillType.Attack skills decrease target's SkillType.Healing received by 25% for 2 turns. Grants Incision skill.""]",SkillType.Attack skills decrease target's SkillType.Healing received. Grants Incision skill.,-,"{""heal_down"": ""SkillType.Healing received is decreased.""}",-,-,-,-,-,-,-,,[0.75],relic:PlagueKnife
demoniccult,Demonic Cult,Demonic Cult,party,0,true,-,Cultist enemies gain Demon type bonuses.,Cultist enemies gain Demon type bonuses.,-,-,-,-,-,-,-,-,-,,-,-
beastsrage,Beast's Rage,Beast,-,-,-,-,"[""Increases Speed and Power when HP is critical.""]",-,-,"{""speed_up"": ""Speed increased."", ""power_up"": ""Power increased.""}",-,-,-,-,-,-,-,,-,-
toxiccultists,Toxic Cultists,Toxic Cult,party,0,true,-,"Cultist enemies gain Toxic Skin: When hit by a SkillType.Melee Attack, poison the attacker.",Cultist enemies gain Toxic Skin.,-,-,-,-,-,-,-,-,-,,-,-
utilitybelt,Utility Belt,Util Belt,-,-,-,-,"[""The first SkillType.Gadget skill used per battle does not consume a use, and counts as a Bonus Action. Grants Smoke Bomb.""]",First SkillType.Gadget skill used counts as free Bonus Action. Grants Smoke Bomb.,-,"{""bonus_action"": ""Next SkillType.Gadget skill counts as a Bonus Action.""}",-,-,-,-,-,-,-,,-,relic:UtilityBelt
smithstraining,Smith's Training,Smith Trng,-,-,-,-,"[""Increases Toughness by 15% for 3 turns when using a SkillType.Buff skill. Grants Whetstone skill.""]",Increases Toughness when using a SkillType.Buff skill. Grants Whetstone skill.,-,"{""toughness_up"": ""Toughness increased.""}",-,-,-,-,-,-,-,,-,relic:SmithTraining
ianasbow,Iana's Bow,Iana's Bow,-,-,-,-,"[""Increases Toughness by +15 when hit by SkillType.Attack skills, up to +150. Grants Needle Volley skill.""]",Increases TGH by +15 when hit by SkillType.Attack skills. Grants Needle Volley.,-,"{""toughness_up"": ""Toughness increased.""}",-,-,-,-,-,-,-,,[15.0],relic:IanasBow
awakentwin,Awaken Twin,Awaken Twin,-,-,-,-,"[""Awakens one of the twins' heads.""]",-,-,"{""block_up"": ""Incoming damage reduced by half."", ""power_up"": ""Power greatly increased."", ""speed_up"": ""Speed greatly increased."", ""counter"": ""Counter attack with Backhand after taking 150 damage.""}",-,-,-,-,-,-,-,,-,-
packhunters,Pack Hunters,Pack Hnt,party,0,true,-,Beast enemies gain All For One trait: Gain 5% of all attributes from all allies.,Beast enemies gain All For One trait.,-,-,-,-,-,-,-,-,-,,-,-
resilientdead,Resilient Dead,Resilient Dead,party,0,true,-,Undead enemies gain Hard To Kill trait: Can only be downed by damage over 10% of max HP.,Undead enemies gain Hard To kill trait.,-,-,-,-,-,-,-,-,-,,-,-
photosynthesis,Photosynthesis,Plant,-,-,-,-,"[""Weakness to SkillType.Ice damage, but small HP regen per turn.""]",-,-,"{""hp_regen"": ""Restore some HP after every turn.""}",-,-,-,-,-,-,-,,-,-
devilshorn,Devil's Horn,Devil Horn,-,-,-,-,"[""Prevents being downed and gain Haste when critical once per battle.""]",Prevents downed and gain Haste. Once per battle.,-,"{""no_death"": ""Prevents being downed by damage."", ""speed_up"": ""Speed greatly increased.""}",-,-,-,-,-,-,-,,-,relic:DevilsHorn
ancientspower,Ancient's Power,Ancient Pwr,party,0,true,-,Enemies deal 15% increased damage and healing.,Enemies deal 15% increased damage and healing.,-,-,-,-,-,-,-,-,-,,-,-
viggosgladius,Viggo's Gladius,Viggo Gladius,-,-,-,-,"[""Increases Discipline by +10 after each hit with SkillType.Melee skill, up to 10 stacks. Grants Martial Prodigy passive.""]",Increases Discipline for each hit with SkillType.Melee. Grants Martial Prodigy.,-,"{""discipline_up"": ""Discipline increased.""}",-,-,-,-,-,-,-,,[10.0],relic:ViggosGladius
h4rmbeam,H4RM Beam,H4RM Beam,-,-,-,-,"[""Deals 0.75x POW and 0.75x FCS SkillType.Physical damage to the lowest health enemy."", ""Deals 50% as SkillType.Physical damage over time for three turns"", ""Reduced turn delay after use""]",-,-,"{""bleed"": ""Take SkillType.Physical damage after every turn.""}",-,-,-,-,-,-,-,,-,-
timebreaktechnician,Time Break Technician,Break Technician,party,2,false,-,Time Break Techs cost 25% fewer particles.,Time Break Techs cost 25% fewer particles.,"[""Wastefulness""]",-,-,-,-,-,-,-,-,,-,-
berserkersrage,Berserker's Rage,Berserk,party,3,false,-,"A random ally gains HP regeneration and +25 Power, but 50% chance to lose control. Resets every battle.","Random ally gains HP regen and +25 Power, but 50% chance to lose control.",-,"{""power_up"": ""Power increased."", ""hp_regen"": ""Restore some HP after every turn."", ""confused"": ""50% chance that hero acts on their own.""}",-,-,-,-,-,-,-,,-,-
hungrydead,Hungry Dead,Hungry Dead,party,0,true,-,Undead enemies gain Life Steal trait: Restore HP based on damage dealt.,Undead enemies gain Life Steal trait.,-,-,-,-,-,-,-,-,-,,-,-
mothersrage,Mother's Rage,Mother's Rage,-,-,-,-,"[""Gain Power and counter attack with Sweep Attack whenever a Spiderling or Egg is killed.""]",-,-,"{""power_up"": ""Power increased."", ""counter"": ""Counter attack with Sweep Attack whenever a Spiderling or Egg is killed.""}",-,-,-,-,-,-,-,,-,-
dkwordfragility,Dk Word: Fragility,Fragility,-,-,-,-,"[""Bonus Action. Increases target's damage taken by 15% for 3 turns."", ""Hits pierce 25% more of target's defenses"", ""Adds up to 0.1x Focus damage to hits taken""]",-,-,-,"[""Damage taken increased."", ""Damage taken increased with extra damage piercing."", ""Damage taken increased with extra damage piercing.""]",-,-,-,-,-,-,,-,-
shieldedplants,Shielded Plants,Plant Shield,party,0,true,-,Plant enemies gain Ancient Shield: Take 50% decreased damage when at critical HP.,Plant enemies gain Ancient Shield when critical.,-,-,-,-,-,-,-,-,-,,-,-
kiarasvoice,Kiara's Voice,Kiara's Vce,-,-,-,-,"[""SkillType.Sonic damage hits decrease enemy Toughness by 10% for three turns. Stacks.""]",SkillType.Sonic damage hits decrease enemy Toughness by 10% for three turns.,-,"{""toughness_down"": ""Toughness decreased.""}",-,-,-,-,-,-,-,,[0.9],relic:KiarasVoice
snap,Snap,Snap,-,-,-,-,"[""Deals 1.0x Focus SkillType.Dark damage and reduces all attributes or removes all resists.""]",-,-,"{""all_down"": ""All attributes decreased."", ""dark"": ""Take SkillType.Dark damage after every turn.""}",-,-,-,-,-,-,-,,-,-
scout,Scout,Scout,-,-,-,-,"[""Target takes 30% increased damage and cannot dodge.""]",-,-,"{""block_down"": ""Damage taken increased by 30%."", ""dodge_zero"": ""Cannot dodge.""}",-,-,-,-,-,-,-,,-,-
dansbottle,Dan's Bottle,Dan's Bottle,-,-,-,-,"[""Hits with SkillType.Attack skills deal up to 5% Current HP SkillType.Physical damage over time for 3 turns. Grants Whiskey skill.""]",Hits with SkillType.Attack skills cause SkillType.Physical damage over time. Grants Whiskey skill.,-,"{""bleed"": ""Take SkillType.Physical damage after every turn.""}",-,-,-,-,-,-,-,,[0.05],relic:DansBottle
scholar,Scholar,Scholar,party,3,false,-,"XP gained is increased by 25%, but receive 15% fewer particles from battles.","Increase XP gained, but receive fewer particles.",-,-,-,-,-,-,-,-,-,,-,-
blitzersspeed,Blitzer's Speed,Blitzer Spd,-,-,-,-,"[""Gain 15% increased Speed for the first three turns of battle. Grants Blitz Stance skill.""]",Gain 15% increased Speed for three turns. Gain Blitz Stance.,-,"{""speed_up"": ""Speed increased.""}",-,-,-,-,-,-,-,,[1.15],relic:BlitzersSpeed
transmitter,Transmitter,Transmitr,party,3,false,-,Transmits 25% of stored particles to Town every encounter.,Transmits 25% of stored particles to Town every encounter.,-,-,-,-,-,true,-,-,-,,-,-
