Name,Class,Availability,Derived Stats,,,,,Base Stats,,,,,,,,,,
Viper ,Wraith,Act 3,492,165,22%,27%,25%,131,70,131,40,50,162,50,40,162,836,0.6.14
Kazuo ,Yakuza,Act 3,825,165,48%,48%,48%,131,70,101,101,101,101,101,40,101,847,0.6.14
Ramesh ,Doctor,Post Act 3,492,653,36%,48%,42%,40,101,70,70,101,70,60,162,101,775,0.6.14
Eztli ,Jaguar,Post Act 3,825,205,40%,36%,38%,101,50,101,81,70,111,101,50,131,796,0.6.14
Agent ,Secret Service,Post Act 3,825,205,57%,40%,49%,101,50,81,131,81,101,101,50,131,827,0.6.14
Blueberry ,Pixie,Post Act 3,426,409,22%,51%,37%,20,131,142,40,111,192,40,101,50,827,0.6.14
Alpha ,Morph,Post Act 3,825,329,51%,40%,46%,142,50,50,111,81,50,101,81,142,808,0.6.14
Graham ,Banker,Act 4,891,329,48%,48%,48%,131,101,50,101,101,70,111,81,81,827,0.6.14
Varyn ,Blood Mage,Act 4,1022,285,57%,36%,47%,40,131,101,131,70,70,131,70,101,845,0.6.14
Rene ,Bokor,Act 4,623,573,36%,57%,47%,40,162,81,70,131,81,70,142,50,827,0.6.14
Lila ,Charmer,Act 4,492,285,27%,40%,34%,131,20,111,50,81,142,50,70,162,817,0.6.14
Jacques ,Chef,Act 4,825,329,40%,57%,49%,111,70,101,81,131,70,101,81,111,857,0.6.14
Olive ,Chemist,Act 4,426,573,27%,60%,44%,20,131,70,50,142,40,40,142,111,746,0.6.14
Illia ,Devil,Act 4,623,409,40%,48%,44%,101,101,101,81,101,50,70,101,131,837,0.6.14
Eligor ,Fallen,Act 4,695,165,48%,36%,42%,131,81,111,101,70,81,81,40,131,827,0.6.14
Charlie ,Firefighter,Act 4,891,329,57%,57%,57%,101,50,70,131,131,70,111,81,81,826,0.6.14
Rock ,Golem,Act 4,1022,247,78%,22%,50%,233,131,40,233,40,40,131,40,70,958,0.6.14
Kate ,Gunslinger,Act 4,623,205,36%,27%,32%,131,50,162,70,50,111,70,50,131,825,0.6.14
Dave ,Hellbinder,Act 4,623,653,36%,60%,48%,40,131,111,70,142,70,70,162,40,836,0.6.14
Emmy ,Rune Scribe,Act 4,695,573,27%,51%,39%,50,146,101,50,111,70,81,142,101,852,0.6.14
Mathias ,Steam Engineer,Act 4,623,750,40%,48%,44%,50,142,81,81,101,81,70,81,142,829,0.6.14
Edgard ,Vampire,Act 4,825,409,51%,51%,51%,142,101,131,111,111,111,101,101,142,1051,0.6.14
Sophia ,Diva,Post Act 4,623,409,36%,36%,36%,40,131,111,70,70,81,70,101,172,846,0.6.14
Baptiste ,Mime,Post Act 4,492,329,27%,51%,39%,81,81,101,50,111,111,50,81,142,808,0.6.14
Igneo,Fire Spirit,Post Act 4,623,285,65%,51%,58%,101,101,70,162,111,50,70,70,101,836,0.6.14
Tank ,Brawler,Act 5,1094,205,57%,36%,47%,192,40,70,131,70,81,142,50,50,826,0.6.14
Echinos ,Cerean,Act 5,1421,205,51%,27%,39%,111,101,50,111,50,40,192,50,111,816,0.6.14
EXU-5 ,Combat Bot,Act 5,623,329,51%,40%,46%,111,111,111,111,81,50,70,81,81,807,0.6.14
Daniela ,Cop,Act 5,825,285,40%,48%,44%,81,70,101,81,101,111,101,70,111,827,0.6.14
SK-04A ,Cyborg,Act 5,891,205,57%,36%,47%,142,70,81,131,70,70,111,50,101,826,0.6.14
Chance ,Gambler,Act 5,492,285,27%,36%,32%,81,81,111,50,70,162,50,70,142,817,0.6.14
Viggo ,Gladiator,Act 5,825,205,48%,40%,44%,111,20,111,101,81,111,101,50,131,817,0.6.14
Sandeep ,Guru,Act 5,695,529,40%,57%,49%,20,101,70,81,131,101,81,131,111,827,0.6.14
Haven ,Inquisitor,Act 5,695,529,27%,67%,47%,20,111,81,50,172,50,81,131,111,807,0.6.14
Otto ,Inventor,Act 5,426,409,27%,40%,34%,20,131,81,50,81,101,40,101,162,767,0.6.14
Rupert ,Judge,Act 5,426,801,27%,48%,38%,40,70,101,50,101,70,40,199,50,721,0.6.14
Jackson ,Juggernaut,Act 5,891,205,65%,57%,61%,162,20,40,162,131,40,111,50,111,827,0.6.14
Luna ,Lumian,Act 5,891,205,36%,36%,36%,50,111,142,70,70,131,111,50,81,816,0.6.14
Warden ,Sentry Bot,Act 5,695,285,36%,36%,36%,70,70,131,70,70,70,81,70,131,763,0.6.14
Carmen ,Space Marine,Act 5,623,205,51%,57%,54%,101,70,101,111,131,70,70,50,131,835,0.6.14
