skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source
amputate,Amputate,Amputate,Amputate,root,3,"Revives an ally with 35% Max HP, but reduces target's attributes by 25% for the rest of battle.",Only lasts 3 turns,Can be dispelled,-,-,[0.25;0.35;0.75;2;3],json
analyze,Analyze,Analyze,Analyze,fight,3,"Target's HP, MP, and Attributes become visible in the status menu.",Deal 25% increased damage to target,Always hit target with skills,-,-,[0.25;1.0;2],json
animatecorpse,AnimateCorpse,Animate Corpse,-,enemy,0,-,-,-,-,-,[0.2;0.25;0.4;0.5;0.8;1.5;2.0;2.25;30.0;3],name-only
annihilate,Annihilate,Annihilate,-,enemy,1,Deals 1x Power SkillType.Energy damage and increases Speed and Power.,-,-,-,-,[0.5;1.1],pool
annihilatorreload,AnnihilatorReload,Annihilator Reload,-,enemy,1,"Reloads Annihilator weapon, resetting speed.",-,-,-,-,-,pool
anthem,Anthem,Anthem,Anthem,root,3,Song. Increases Speed and Agility by 20% of OWNER.NAME's Technique for all allies.,Increases critical hit damage by 25%,Increases chance to dodge by 15%,-,-,[0.15;0.25;0.5;1.0;1.25;1.5;2.25;15.0;3;2],json
antibiotics,Antibiotics,Antibiotics,A.Biotics,root,1,Dispels all SkillType.Debuff on target every turn.,-,-,-,-,[0.5;0.75;2.0;30.0],json
aoeitem,AoEItem,AoE Item,-,root,0,-,-,-,-,-,[2],name-only
arborealaid,ArborealAid,Arboreal Aid,ArborAid,root,1,Access Arboreal Aid skills.,-,-,-,-,[2;7],pool
arcaneconduit,ArcaneConduit,Arcane Conduit,Arc.Conduit,root,3,"While active, force enemy SkillType.Spell skills to target you. Last 3 turns.",Enemies deal 50% less damage with SkillType.Spell skills,Enemies take 1x Focus SkillType.Energy damage on SkillType.Spell use,-,-,[0.01;0.075;0.175;0.25;0.5;1.0;1.05;1.5;2],json
arcaneglyphs,ArcaneGlyphs,Arcane Glyphs,-,root,1,Gain access to Spell modifying Glyph skills. Three uses.,-,-,-,-,[2;7;3],pool
arcticjet,ArcticJet,Arctic Jet,-,root,2,Deals 1.5x Focus SkillType.Physical and SkillType.Ice damage to enemies. Three turn charge.,Deals 1.5x Focus SkillType.Physical and SkillType.Ice damage to enemies.,-,-,-,[0.6;2.5],pool
armchainlaser,ArmChainLaser,Arm Chain Laser,-,defend,2,Arms a Chain Laser that deals SkillType.Energy damage with reduced turn delay per use.,Arms Chain Laser that deals SkillType.Energy damage with reduced turn delay.,-,-,-,-,pool
armflamethrower,ArmFlamethrower,Arm Flmthrower,ArmFlamethrower,defend,2,Arms a Flamethrower that deals SkillType.Fire damage and adds burning to enemies in a column.,Arms a Flamethrower that deals SkillType.Fire damage.,-,-,-,-,pool
armmissilepod,ArmMissilePod,Arm Missile Pod,Arm Msl Pod,defend,2,Arms a Missile Pod that deals SkillType.Physical damage randomly 8-12 times.,Arms a Missile Pod that deals SkillType.Physical damage 8-12 times.,-,-,-,-,pool
armrailcannon,ArmRailCannon,Arm Rail Cannon,Arm Rail Cn,defend,1,Arms a Rail Cannon that deals piercing SkillType.Physical damage.,-,-,-,-,-,pool
arsenal,Arsenal,Arsenal,-,defend,1,"Activate various integrated weapons, replacing primary attack skill.",-,-,-,-,[2;7;3],pool
assigntarget,AssignTarget,Assign Target,Target,root,3,Increases target's damage taken from OWNER.NAME by 25%. Limit of one Assigned Target.,"Attack target with OWNER.FIGHTNAME after it acts, if possible","If the target gains a Free Turn, gain one as well",-,-,[0.2;0.25;0.5;2;7;3],json
assist,Assist,Assist,Assist,defend,3,Assist target ally by also attacking their attack targets.,Assist target ally by also attacking their attack targets.,Assist target ally by also attacking their attack targets.,-,-,-,json
astralmagic,AstralMagic,Astral Magic,AstralMag,root,1,Access Astral Magic skills. Each use grants Astral stack.,-,-,-,-,[2;7],pool
atomize,Atomize,Atomize,-,enemy,1,Instantly destroys a summoned hero.,-,-,-,-,[0.2;0.25;0.35;0.4;0.5;1.5;1.6],pool
autocrossbow,AutoCrossbow,Auto Crossbow,Auto Crsbw,root,4,Deals 0.65x Power SkillType.Physical damage up to 6 times. Charges during Blood Trance.,Deals 0.75x Power SkillType.Physical damage up to 6 times. Charges during Blood Trance.,Deals 33% increased damage to Undead,Each hit increases damage by 10%,-,[1.33;3;2],pool
backhand,Backhand,Backhand,-,enemy,1,Deals SkillType.Physical and SkillType.Stun damage to an entire row.,-,-,-,-,-,pool
balancedtools,BalancedTools,Balanced Tools,BalanceTls,city,1,Decreases target Wisdom.,-,-,-,-,[0.75],json
ballad,Ballad,Ballad,Ballad,root,3,Song. Increases Power and Toughness by 20% of OWNER.NAME's Technique for all allies.,Allies gain 1 Resist after their turn,Decreases damage taken by 15%,-,-,[0.25;0.85;1.0;1.25;2.2;2;3],json
balloon,Balloon,Balloon,Balloon,defend,3,Next damage misses target ally. Heals target for 10% Max HP when Balloon ends.,Enemy takes SkillType.Stun damage equal to healing,50% chance to remain active,-,-,[0.75],json
banish,Banish,Banish,Banish,root,1,Banish undead to death.,-,-,-,-,[0.15;0.25;0.33;0.5;1.0;1.5;2.25;3],json
bankrupt,Bankrupt,Bankrupt,-,root,3,Remove all Debt stacks from enemy. Deals damage equal to 3 turns of Debt.,Deals damage equal to 4 turns,Deals damage equal to 5 turns,-,-,[2],pool
bargain,Bargain,Bargain,Bargain,root,3,"Bonus action. Share 35% of OWNER.NAME's attributes with target ally, but ally skips their turns. One use.",Ally deals 25% more damage and healing,Ally has 50% chance to not be downed,-,-,[0.25;0.35;50.0;2;3],json
barkskin,Barkskin,Barkskin,-,root,1,SkillType.Physical damage taken decreased by up to ,-,-,-,-,[0.5;1.2;3;2;4;5],pool
barricade,Barricade,Barricade,Barricade,enemy,1,"Randomly taunt 3 enemies and nullify up to 8 hits until next turn, reflecting SkillType.Physical damage back to melee attackers. 2 turn charge.",-,-,-,-,[3],json
bash,Bash,Bash,-,fight,3,Deals 1.35x Power SkillType.Physical and SkillType.Stun damage to an enemy.,SkillType.Stun damage increased by 50%,SkillType.Physical damage increased by 15%,-,-,[1.15;1.5;2;3],pool
bashmaul,BashMaul,Bash Maul,-,fight,0,-,-,-,-,-,-,name-only
batsfur,BatsFur,Bat's Fur,Bat's Fur,root,1,Deals 50-75 SkillType.Dark damage to target enemy.,-,-,-,-,-,json
batswarm,BatSwarm,Bat Swarm,-,root,0,-,-,-,-,-,[0.15;0.5;1.0;10.0;50.0],name-only
battlecry,BattleCry,Battle Cry,Battle Cry,root,3,Increase ally maximum HP by 350 for 5 turns.,Restore MP cost to allies on end,Heals allies for 350 HP on effect end,-,-,[0.015;0.1;0.15;0.2;1.0;1.7;16.0],json
bearswat,BearSwat,Bear Swat,-,root,2,Deals 1.33x Power SkillType.Physical damage and shifts target to the left or right. Also deals 66% damage to other shifted target.,"Deals 1.33x Pow SkillType.Physical damage, knocks target sideways.",-,-,-,[0.025;0.05;0.15;0.66;50.0;2;7;3;5],pool
beartrap,BearTrap,Bear Trap,Bear Trap,root,3,Target's next turn is interrupted. Cannot be resisted. One use. No effect on Bosses.,Target takes 35% HP SkillType.Physical damage when turn is interrupted by trap,50% chance to not be removed,-,-,[0.4;0.6;1.0;1.6;2.0;3],json
beatdown,BeatDown,Beat Down,-,root,4,Deals 0.6x Power SkillType.Physical damage to target enemy. Hits once for each stack of Resolve. Lose all Resolve stacks.,Deals 0.6x Power SkillType.Physical damage once per stack of Resolve.,Also deals 0.6x Power SkillType.Stun damage per hit,Lose all but 3 stacks of Resolve,-,[0.25;3;7],pool
belch,Belch,Belch,Belch,enemy,1,"Deals 1x Focus SkillType.Poison damage, damage over time, and decreases TGH by 25%. Stacks.",-,-,-,-,[0.25;0.3;0.5;0.75;1.0;1.5;3;2;4],json
bigslam,BigSlam,Big Slam,Big Slam,enemy,1,"Deals SkillType.Physical and SkillType.Stun damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",-,-,-,-,[-15.0;0.035;0.15;0.2;0.33;0.4;0.5;0.6;0.7;0.75;0.8;0.95;1.0;1.1;1.3;1.75;2.25;2.45;15.0;3;2;4],json
bigslamdigest,BigSlam_Digest,Big Slam_Digest,-,enemy,0,-,-,-,-,-,[0.2;0.5],name-only
binddarkimp,BindDarkImp,Bind Dark Imp,-,root,1,Channel to bind a Dark Imp next turn.,-,-,-,-,-,pool
bindingritual,BindingRitual,Binding Ritual,Binding,root,3,Access the Imp Binding skills.,Increase Imp attributes by 35% of OWNER.NAME's Wisdom,Imps always hit with skills,-,-,[0.25;0.5;1.0;2;7],json
bindmageimp,BindMageImp,Bind Mage Imp,-,root,1,Channel to bind a Mage Imp next turn.,-,-,-,-,-,pool
bindredimp,BindRedImp,Bind Red Imp,-,root,1,Channel to bind a Red Imp next turn.,-,-,-,-,-,pool
biobomb,BioBomb,Biobomb,Biobomb,root,3,"Deals 75-125 SkillType.Poison damage, and 75-125 per turn for 5 turns. Always hits. One use per battle.",Reduces enemy healing by 50%,Enemies take 15% more damage,-,-,[0.15;0.5;1.5;2;3],json
biobombexplosion,BioBombExplosion,Bio Bomb Explosion,-,root,0,-,-,-,-,-,-,name-only
blazingslam,BlazingSlam,Blazing Slam,Blz Slam,enemy,1,"Deals SkillType.Fire damage. Pulls an enemy into its body, where it takes SkillType.Poison damage over time until it is digested or broken out.",-,-,-,-,-,json
blessedwater,BlessedWater,Blessed Water,Blessed Wtr,root,3,Deals 15% Max HP SkillType.Holy damage to Undead enemy.,Prevents SkillType.Healing on target Undead enemy,Target Undead enemy dies immediately if Downed,-,-,[3],json
blessing,Blessing,Blessing,Blessing,defend,3,Bonus Action. Increases attributes of target ally by 20%. Limit one.,Target receives 20% increased healing,Target gains 1 Resist after their turn,-,-,[0.1;0.2;0.6;0.9;1.2;1.35;1.6;2;3],json
blind,Blind,Blind,Blind,defend,3,Target enemy's next direct hit damage always misses.,Next 2 hits,Next 3 hits,-,-,[0.15;0.25;1.5],json
blinded,Blinded,Blinded,Blinded,city,1,Decreases target Technique.,-,-,-,-,[0.75],json
blindingpowder,BlindingPowder,Blinding Powder,Blind Powder,root,3,Decreases target's chance to hit with next skill by 80%.,Lasts for three skills,Lasts for five skills,-,-,[0.2;1.0;2;3;4],json
blitzstance,BlitzStance,Blitz Stance,BltzStanc,root,3,Stance. Adds up to 0.5x Speed damage to SkillType.Attack skill damage. Disables Bonus Actions.,Increases Technique by 35% of Speed,SkillType.Attack skills have 35% less turn delay,-,-,[0.35;0.5;0.65;1.0;2;3],json
blizzard,Blizzard,Blizzard,-,root,1,Deals 0.5x Focus SkillType.Ice damage to random enemy targets up to 8 times.,-,-,-,-,[0.1;0.15;0.2;0.25;0.35;2.0;2.25],pool
block,Block,Block,Block,defend,3,"The next three times you take damage from SkillType.Attack skills, the damage is negated.",Lasts through four times taking damage,Lasts through five times taking damage,-,-,[5],json
bloodessence,BloodEssence,Blood Essence,-,root,3,"Heals self for up to Max HP, based on charge.",Allies gain 10% of healing done,Retain 25% of charge after use,-,-,[0.2;0.25;0.35;0.4;0.75],pool
bloodlet,Bloodlet,Bloodlet,Bloodlet,defend,3,Target ally takes 30% Max HP SkillType.Physical damage and loses all SkillType.Debuff effects.,Heals target after every turn for amount equal to 50% of initial damage dealt. Lasts 3 turns.,Negates Plague damage,-,-,[0.15;0.5;2;3;4],json
bloodshield,BloodShield,Blood Shield,-,root,5,Create a shield that blocks up to 2.5x Focus damage taken by target ally. Sacrifice HP when shield blocks damage.,Sacrifice HP to block up to 2.5x FCS damage taken by target ally.,Shield strength gains 10% of current HP when cast,Ally gains 3 resist stacks,All attributes increased.,[0.25;0.4;0.5;1.25;2;3;4],pool
bloodsuck,Bloodsuck,Bloodsuck,-,enemy,1,"Deals 1.0x Power SkillType.Physical damage, restores HP based on damage dealt, causes bleeding, and decreases target's Healing received by 50%.",-,-,-,-,[0.5;2;3;4;5],pool
bloodtrance,BloodTrance,Blood Trance,-,defend,2,Sacrifice 20% HP every turn and increase damage with SkillType.Attack skills by 35%. Togglable.,Heal by 25% of damage dealt with SkillType.Attack skills,-,-,-,[-0.2;0.1;0.2;0.25;0.3;0.35;0.5;0.85;0.95;1.25;1.5;2;3],pool
bloom,Bloom,Bloom,-,root,3,"Taunts a random enemy, forcing them to target OWNER.NAME for 3 turns.",Heals all allies' HP and MP for 0.25x Focus,"If Take Root is active, MP cost 0 and triggers automatically at end of turn",-,-,[0.15;0.35;0.85;1.25;2;3],pool
boarspirit,BoarSpirit,Boar Spirit,-,root,2,Summon a Boar Spirit that uses Gore on enemies.,Allies take 15% less damage while active,-,-,-,[0.25;2;7;3],pool
boast,Boast,Boast,-,enemy,1,Bonus Action. Increase Focus by 15% and taunt 3 random targets.,-,-,-,-,[0.15;0.3;0.45;0.6;1.0;1.15;1.5],pool
bodyblows,BodyBlows,Body Blows,-,root,2,Deals 0.75x Power SkillType.Physical damage to target enemy 2 times.,Reset target's current turn progress to zero if both hits land,-,-,-,[0.01;0.15],pool
bodyslam,BodySlam,Body Slam,-,enemy,0,-,-,-,-,-,[0.035;0.15;0.2;0.4;0.5;0.6;0.75;0.8;0.95;1.0;1.1;1.3;1.75;2.25;2.45],name-only
boltgun,Boltgun,Boltgun,-,root,1,Deals 0.66x MP SkillType.Physical damage to target enemy.,-,-,-,-,[0.5;0.66;1.5],pool
bombpunch,BombPunch,Bomb Punch,Bomb Pnch,enemy,1,Deals 1x Power SkillType.Physical and 1x Focus SkillType.Fire damage to enemies.,-,-,-,-,[0.01;0.125;0.25;0.3;0.35;0.475;0.625;1.375;1.525],pool
boneshield,BoneShield,Bone Shield,Bone Shld,defend,3,Blocks up to 2.5x Toughness damage taken. Sacrifice 10% of current HP.,Attackers take 1x Toughness SkillType.Physical damage,Attackers take SkillType.Physical damage.,-,-,[0.25;0.4;0.5;1.25;2;3;4],pool
booming,Booming,Booming,-,root,0,-,-,-,-,-,[0.35;0.7;1.0;1.4;12.0],name-only
boomkit,Boomkit,Boomkit,Booms become level 2,root,1,Bonus action. Access explosive gadgets.,-,-,-,-,[2;7],pool
bramblebulwark,BrambleBulwark,Vine Guard,Vine Guard,enemy,3,Redirect damage taken by unprotected allies onto yourself until your next turn.,Increases next turn delay,Converts some taken damage to SkillType.Stun,-,-,-,json-size
breakbones,BreakBones,Break Bones,Brk Bones,root,3,Deals 1.35x Power SkillType.Physical damage and lowers target's highest Attribute by 25% for 3 turns.,Decreases healing received by 25%,Lasts entire battle,-,-,[0.015;0.15;0.2;0.25;0.75;1.0;2],json
breakice,BreakIce,Break Ice,-,root,3,Deals 0.75x Focus SkillType.Ice damage per Frostbite stack. Consumes Frostbite.,Deals 0.75x Focus SkillType.Ice damage per Frostbite stack.,Consumed Frostbite stacks are spread to other enemies with Frostbite,-,-,[0.8;1.5;2;3],pool
brewingstorm,BrewingStorm,Brewing Storm,Brewing Storm,enemy,1,"Enemies take 1x Focus SkillType.Lightning damage every turn, but costs MP.",-,-,-,-,[0.1;0.15;0.25;1.0;1.15],json
bsod,BSOD,BSOD,-,enemy,1,Deals 3.0x Focus SkillType.Lightning damage to all enemies whenever an AI node is destroyed.,-,-,-,-,[0.5;1.5;1.75;2.5;4],pool
buboburst,BuboBurst,Bubo Burst,-,root,2,Remove all Plague stacks from ally. Spreads Plague stacks to enemies.,Heals ally for 5% Max HP for each stack,-,-,-,[0.25],pool
buffer,Buffer,Buffer,-,enemy,1,Increases CENCOM's forcefield strength by 1x Focus.,-,-,-,-,[0.25],pool
bulletpunch,BulletPunch,Bullet Punch,-,enemy,1,"Deals 0.1x Power SkillType.Physical and SkillType.Stun damage to target enemy 10 times, followed by a 1x Focus damage SkillType.Lightning strike.",-,-,-,-,[0.01;0.15;0.25],pool
bulwark,Bulwark,Bulwark,Bulwark,root,3,Redirects 25% of damage taken by allies onto yourself until your next turn.,Reduces ally damage taken from hits by 20%,Increases redirect to 35%,-,-,[5],json
burn,Burn,Burn,Burn,enemy,3,Deals 0.35x Focus SkillType.Fire damage immediately and over time for 3 turns. Max 3 stacks.,Refreshes all stacks on hit,Max 5 stacks,-,-,[0.85;2;3;4],json
burningfist,BurningFist,Burning Fist,BurnFist,root,3,Deals 0.8x Power SkillType.Physical and SkillType.Fire damage to target enemy.,Deals 0.4x Power SkillType.Fire damage over time for 3 turns,Damage over time increased to 0.6x Power damage,-,-,[0.01;0.15;0.5;0.85;1.5;2;3],json
callbomb,CallBomb,Call Bomb,-,enemy,1,Summons a sapper drone into a free party space.,-,-,-,-,-,pool
callcultist,CallCultist,Call Cultist,-,enemy,1,Summons another cultist of a random type to a free party space.,-,-,-,-,[3],pool
calldrone,CallDrone,Call Drone,-,enemy,1,Summons another drone into a free party space.,-,-,-,-,-,pool
callforbackup,CallForBackup,Call For Backup,Call Backup,root,3,Summon a random reserve party member with full stamina for 3 turns.,Summon a random reserve party member for 3 turns.,MP cost decreased by 25%,-,-,[0.25;3],pool
callguardian,CallGuardian,Call Guardian,-,enemy,1,Summons a guardian into a free front row party space.,-,-,-,-,[2;5],pool
callimp,CallImp,Call Imps,CallImp,enemy,1,"Summons up to 3 imps to free party spaces, up to a maximum of 6 imps.",-,-,-,-,[3;5],pool
callnurse,CallNurse,Call Nurse,-,root,2,Summon a Nurse that uses Treat at the same level as Ramesh. Lasts 5 turns.,Nurse healing adds to Insurance,-,-,-,[0.25;3;2],pool
callscorpion,CallScorpion,Call Scorpion,-,enemy,1,Summons another scorpion into the front row.,-,-,-,-,[2;5],pool
callspiderlings,CallSpiderlings,Call Spiderlings,-,enemy,1,Summons up to 3 spiderlings into empty spots.,-,-,-,-,[3],pool
callspirits,CallSpirits,Call Spirits,-,enemy,1,Summons up to 3 Will-o'-the-Wisps into empty spots.,-,-,-,-,[3],pool
callswarmer,CallSwarmer,Call Swarmer,-,enemy,1,Bonus Action. Summons a Swarmer to a free party space.,-,-,-,-,-,pool
callundead,CallUndead,Call Undead,-,enemy,1,Summons a zombie or will o wisp to an empty front row party spot.,-,-,-,-,[50.0;2;5],pool
callvoidzombie,CallVoidZombie,Call Void,CallVoidZombie,enemy,1,Summons a Void Zombie to an empty front row party spot.,-,-,-,-,[2;5],pool
callwolf,CallWolf,Call Wolf,-,enemy,1,Summons another wolf to the front row.,-,-,-,-,[2;5],pool
caltrops,Caltrops,Caltrops,Caltrops,root,3,Deals 100-125 SkillType.Physical damage when enemies use SkillType.Melee skills. Ends after being triggered 5 times.,50% chance to interrupt non-boss enemy's skill when triggered,Adds a stack of Envenom when triggered,-,-,[1.0;50.0;2],json
canabite,CanaBite,Cana Bite,-,fight,0,-,-,-,-,-,[0.2;0.65;3;2],name-only
cardthrow,CardThrow,Card Throw,Card Throw,fight,3,Deals 1.0x Technique SkillType.Physical damage to target enemy. More effects based on chosen suit.,"Deals 50% of damage as SkillType.Physical damage over time for 3 turns, up to 3 stacks",Deals double critical hit damage,-,-,[2;7;3;4],json
cardthrowclub,CardThrowClub,Card Throw Club,-,fight,1,Damage dealt increased by 50%.,-,-,-,-,-,pool
cardthrowdiamond,CardThrowDiamond,Card Throw Diamond,-,fight,1,Turn delay decreased by 50%.,-,-,-,-,-,pool
cardthrowheart,CardThrowHeart,Card Throw Heart,-,fight,1,Heal self for 50% of damage dealt.,-,-,-,-,[0.5],pool
cardthrowspade,CardThrowSpade,Card Throw Spade,-,fight,1,"Damage decreased by 50%, but hits all targets in the row.",-,-,-,-,-,pool
cardthrowsubskill,CardThrowSubskill,Card Throw,CardThrowSubskill,fight,0,-,-,-,-,-,[0.4;1.0;3],name-only
carnage,Carnage,Carnage,Carnage,enemy,1,All allies gain 50% turn progress and instability increases. Enemies are confused and gain 100% increased Power.,-,-,-,-,[0.015;0.15;0.5;0.65;12.0;26.0;48.0;7;2],json
cauldron,Cauldron,Cauldron,-,root,2,Cast various spells by using Reagents.,Access Cauldron Spells.,-,-,-,[0.5;2;7],pool
cauterize,Cauterize,Cauterize,Cauterize,root,3,Dispels all SkillType.Debuff from target ally. Deals 10% Max HP SkillType.Fire damage to target for each SkillType.Debuff dispelled.,Increases target's Toughness by 15% for 3 turns,Increases target's Endurance by 15% for 3 turns,-,-,[0.6;1.15;2],json
cencomrepair,CencomRepair,Cencom Repair,-,enemy,1,Heals CENCOM for 1.75x Focus.,-,-,-,-,[0.2;0.4;0.6;1.0],pool
chainlaser,ChainLaser,Chain Laser,-,fight,2,"Deals 0.5x Power SkillType.Energy damage up to 4 times in an area. Decreased turn delay after each use, until reload after 6 uses.",Deals 0.5x Power SkillType.Energy damage up to 4 times in an area. Reload after 6 uses.,-,-,-,[0.1],pool
chainlightning,ChainLightning,Chain Lightning,-,root,2,"Deals 1.0x Focus SkillType.Lightning damage to target, jumping to adjacent targets up to 3 times.","Deals 1.0x Focus SkillType.Lightning damage to target, chaining up to 3 times.",-,-,-,[0.01;0.015;0.15;0.5;1.5;2.0;2.5;3;2],pool
chainlightninglich,ChainLightningLich,Chain Lightning,Chain Ltng,defend,2,"Deals 1x Focus SkillType.Lightning damage to target, jumping to adjacent targets up to 3 times for 50% damage.","Deals 1x Focus SkillType.Lightning damage to target, chaining up to 3 times.",-,-,-,[0.01;0.15;2.0],pool
chainsaw,Chainsaw,Chainsaw,Chainsaw,root,3,Deals 200-250 piercing SkillType.Physical damage to target enemy. Three uses per battle.,Damage increased randomly up to 5-10% of target's current HP,Halves target's healing received,-,-,[0.004;0.05;0.1;0.2;0.35;0.4;0.45;0.5;0.6;0.7;0.8;1.25;1.75;2.0;12.0;16.0;38.0;3;2],json
chakra,Chakra,Chakra,-,root,2,Heals other allies for 1.25x Focus. Long turn delay.,Restores 1.25x Focus MP for allies,-,-,-,[0.1;0.6;2;3],pool
channel,Channel,Channel,-,enemy,1, damage. Channeling stops if broken.,-,-,-,-,[0.5;1.0;1.5;2.0;30.0;7;2;3;4;5],pool
chaosspores,ChaosSpores,Chaos Spores,Chaos Spr,enemy,1,Causes debilitating effects to enemy party.,-,-,-,-,[0.1;0.2;0.25;0.5;1.75;2.0;7;2],pool
charge,Charge,Charge,-,root,2,Deals 1x Power SkillType.Physical damage to enemies in a line.,50% increased damage against one target,-,-,-,[0.01;0.15;0.25;0.6],pool
chargedfist,ChargedFist,Charged Fist,-,inventions,1,Deals 120-210 SkillType.Lightning damage and shifts target to back row. Low turn delay.,-,-,-,-,[0.025;0.15;0.25;0.6;0.95;1.0;1.6;1.85],pool
chargedhook,ChargedHook,Charged Hook,-,enemy,0,-,-,-,-,-,-,name-only
charm,Charm,Charm,Charm,defend,3,"Force a non-Boss enemy to attack an adjacent teammate next turn with a basic attack, if possible.",Attack deals 50% increased damage,Effect has 25% chance to persist,-,-,[25.0;7;3;2;4],json
chastise,Chastise,Chastise,Chastise,fight,3,Deals 1.2x Focus SkillType.Holy damage to target. Always hits.,Deals 0.6x Focus SkillType.Holy damage after target's next turn,Prevents target from targeting your party for one turn,-,-,[0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.95;1.5;3;5],json
chill,Chill,Chill,Chill,fight,3,Deals 1x Focus SkillType.Ice damage to an enemy.,Decreases target's Speed by 25%,Adds 3 Frostbite,-,-,[0.75;1.0;1.5],json
chomp,Chomp,Chomp,-,enemy,1,Deals 1.5x Power SkillType.Physical damage. Pierces 50% of defenses.,-,-,-,-,[0.5;1.0;1.15;2;3],pool
chop,Chop,Chop,-,fight,3,Deals 1x Power SkillType.Physical damage to target. Deals 50% increased damage to Plants.,Damage increased by 30%,Deals 1x Power SkillType.Physical damage. 50% bonus damage to Plants.,-,-,[0.035;0.15;0.5;1.0;1.3;1.5;3;2],pool
claim,Claim,Claim,-,enemy,1,Steals 1.0x Focus HP and MP from all allies and enemies.,-,-,-,-,[2.0],pool
clawswipes,ClawSwipes,Claw Swipes,-,enemy,1,Deals 0.75x Power SkillType.Physical damage. Hits 2 times.,-,-,-,-,[0.4],pool
cleanse,Cleanse,Cleanse,-,root,2,Dispels all SkillType.Poison debuffs.,Heals target for 0.2x Focus HP for each SkillType.Debuff dispelled,-,-,-,[0.1;0.2;0.4;0.5;0.6;0.8;0.9;1.2;2.0;2;3],pool
clearcut,ClearCut,Clear Cut,-,enemy,1,All allies attack random targets.,-,-,-,-,-,pool
