Skill Name,Effect,,,Shared Effect,,Relic
RAM,Passive,-,"Level 1: Gain one stack for each [Buff] or [Debuff] dispelled by Hack or Reprogram, lasting 3 turns. Increases Focus by +10 per stack.
Level 2: Increases Speed by +10 per stack
Level 3: Gain one stack before every turn",-,-,-
Firewall,Passive,-,"Level 1: Start battle with 3 Resist and gain 1 Resist every turn.
Level 2: Gain 1 stack of RAM when resisting a [Debuff]
Level 3: Deal 1x Focus [Fire] damage to attacker when resisting a [Debuff]",-,-,-
Hack,Single - Any,90,"Level 1: Target enemy takes 2x Focus [Stun] damage and non-Boss loses 50% of current turn progress. Double damage vs Mechanical.
Level 2: Dispel 1 [Buff] on target, +1 for each stack of RAM
Level 3: Deal .75x Focus [Lightning] damage for each [Buff] dispelled",-,-,-
Reprogram,Single - Any,38,"Level 1: One [Debuff] on target ally is converted to a random [Buff] instead.
Level 2: Convert one additional [Debuff] for each stack of RAM
Level 3: Target is healed for 0.25x Focus for each [Debuff] converted",-,-,-
Clothesline,Single - Melee,-,"Level 1: Deals 1x Power [Physical] and [Stun] damage.
Level 2: Decreases target's Toughness by 15% for 3 turns. Max 3 stacks.
Level 3: Decreases target's Speed by 15%",-,-,-
Taunt,Single - Any,-,"Level 1: Bonus Action. Forces enemy to target you for 3 turns. No effect on Bosses.
Level 2: Target deals 50% decreased damage to other allies
Level 3: 15% chance that target stumbles in rage",-,-,-
No-Sell,Passive,-,"Level 1: The first time Zeke is critical, blocks up to 50% Max HP damage from hits.
Level 2: Dispels all [Debuff]
Level 3: Fully charges Finisher",-,-,-
Feud,Passive,-,"Level 1: Taunt also hits adjacent enemies.
Level 2: Gain +50 Power for each Taunted enemy.
Level 3: Always hit Taunted enemies",-,-,-
Finisher,Single - Any,-,"Level 1: Deals 5x Power [Physical] damage. Charges on taken damage. Cannot miss.
Level 2: Gain HP equal to damage dealt
Level 3: Gain Free Turn on use",-,-,-
Dropkick,Single - Melee,75,"Level 1: Deals 2x Power [Physical] damage to target enemy. Damages self.
Level 2: Also deals [Stun] damage
Level 3: Knocks target into back row",Headbutt,-,Zeke's Boots
Pander,Self,95,"Level 1: Heals self for 35% of Max HP.
Level 2: 50% chance to Taunt enemy front row
Level 3: Doubles next Finisher damage",-,-,-
Shake Off,Self,38,"Level 1: Bonus Action. Dispels three [Debuff] effects on you.
Level 2: Gain 15% increased attributes for each [Debuff] removed
Level 3: Heals for 15% of missing HP for each [Debuff] removed",-,-,Sheriff Badge
Flurry,Single - Melee,-,"Level 1: Deals 0.3x Power [Physical] damage to an enemy three times.
Level 2: Hits 4 times
Level 3: Hits 5 times",Rip,-,-
Zen Trance,Self,-,"Level 1: Stance. Increases damage and healing by 50% while active. Decreases Speed by 35%.
Level 2: Decreases damage taken by 35%
Level 3: Increases all attributes by 15%",-,-,-
Inner Peace,Passive,-,"Level 1: Regenerate 5-10% of max HP at the start of every turn.
Level 2: [MP] damage taken decreased by 75%
Level 3: Lose 25% less Stamina when traveling through conduit space portals",-,-,-
Acrobatics,Passive,-,"Level 1: Agility increased by 25% when hit. Stackable. All stacks are lost when you dodge.
Level 2: Adds an extra chance to try to dodge
Level 3: Gain 15% turn progress when you dodge",Nimble,-,Ishikawa's Garb
Counter,Passive,-,"Level 1: Counterattack for 0.65x Power after being targeted by a [Melee] skill.
Level 2: Counterattack cannot miss
Level 3: Counterattack always critical",-,-,-
Four Pillars,Self,?,"Level 1: Access the Four Elemental Pillar skills. Requires Zen Ttance.
Level 2: Pillars become level 2
Level 3: Pillars become level 3",-,-,-
Burning Fist,Single - Melee,?,"Level 1: Deals 0.8x Power [Physical] and [Fire] damage to target enemy.
Level 2: Deals 0.4x Power [Fire] damage over time for 3 turns
Level 3: Damage over time increased to 0.6x Power damage",-,-,-
Frozen Kick,Single - Melee,?,"Level 1: Deals 1.2x Power [Physical] and [Ice] damage to target enemy.
Level 2: Decreases target's Toughness by 35% for 3 turns
Level 3: Increases [Fire] [Lightning] and [Ice] damage taken by target by 35%",-,-,-
Whirlwind,All - Melee,?,"Level 1: Deals 0.5x Power [Lightning] damage to enemies in an area.
Level 2: Shifts target randomly
Level 3: Hits all enemies",-,-,-
Stoneskin,Self,?,"Level 1: [Physical] damage taken decreased by 1x Focus, up to 75%. Lasts 3 turns.
Level 2: Also decreases [Fire] [Lightning] and [Ice] damage
Level 3: Now decreases all damage types",-,-,-
Chakra,Self,47,"Level 1: Heals other allies for 1.25x Focus. Long turn delay.
Level 2: Restores 1.25x Focus MP for allies
Level 3: Removes one [Debuff]",-,-,-
Meditate,Self,-,"Level 1: Restores 15% of Max HP and MP and dispel 3 [Debuff] effects. Charges over time.
Level 2: Increases damage and healing of next skill used by 25%
Level 3: Your next skill counts a a Bonus Action",-,-,Wensho's Gift
Guard Strike,Single - Melee,-,"Level 1: Deals 0.66x Power [Physical] damage and decreases damage taken by 25% for 1 turn.
Level 2: Lasts 2 turns
Level 3: Counter attack incoming [Melee] skills while active",-,-,Leon's Sword
Protect,Single - Melee,-,"Level 1: Bonus Action. Redirect 35% of damage taken by ally from hits to yourself.
Level 2: Ally takes 25% decreased damage
Level 3: Redirects 50% of damage",-,-,Police Badge
Honor,Passive,-,"Level 1: Taking redirect damage increases damage dealt by 10%. Loses some stacks each turn.
Level 2: Increases Power by +10 per stack
Level 3: Increases Technique by +10 per stack",-,-,-
Chivalry,Passive,-,"Level 1: Automatically Protects the weakest adjacent ally.
Level 2: Protect now redirects 50% more damage
Level 3: Reduces redirected damage by 50%",One For All,-,-
Valor,Passive,-,"Level 1: Damage taken is reduced by 25% if attacker has more HP than Leon.
Level 2: 25% increased damage against enemies with more HP
Level 3: 25% increased attributes against Bosses",-,-,-
Joust,Column - Any,-,"Level 1: Deals 2x Power [Physical] damage to enemies in a line. Charges over time.
Level 2: Miss chance reduced by 10% for each stack of Honor
Level 3: Deals 10% more damage for each stack of Honor",-,-,-
Shield Bash,Single - Melee,57,"Level 1: Deals 1x Power [Physical] and [Stun] damage to an enemy.
Level 2: 25% increased damage
Level 3: 25% further increased damage",-,-,-
Quick Shot,Single - Any,-,"Level 1: Deals 0.75x Tech [Physical] damage to target enemy. Short turn delay.
Level 2: Shorter turn delay
Level 3: 50% increased damage",-,-,-
Eagle Eye,Self,-,"Level 1: Your next [Attack] skill cannot miss and deals 35% more damage.
Level 2: Next [Attack] skill is always a critical hit
Level 3: Turn delay decreased by 35%",-,-,Iana's Bow
Cana,Passive,-,"Level 1: Automatically summon Cana in battle.
Level 2: Cana gains the effect of your Eagle Eye
Level 3: Cana gains copies of your equipped relics",-,-,-
Strike as One,Passive,-,"Level 1: Cana gains a free turn after Iana uses [Attack] skills.
Level 2: Cana's next Bite does 50% increased damage
Level 3: Cana's next Bite is always a critical hit",-,-,-
Snake Bite Coating,Passive,-,"Level 1: Iana's [Attack] skills cause 10% HP [Poison] damage over time for 3 turns. Stacks 3 times.
Level 2: Decreases target Agility by 15% per stack
Level 3: Decreases target Speed by 15% per stack",-,-,-
Pincushion,Single - Any,58,"Level 1: Deals 0.45x Tech [Physical] damage to target enemy 6 times. Requires Eagle Eye. Increased turn delay.
Level 2: Decreased turn delay
Level 3: Each hit deals 10% more damage",-,-,-
Split Arrow,All - Any,44,"Level 1: Deals 0.75x Tech [Physical] damage to target enemies.
Level 2: 25% increased damage
Level 3: Hits all enemies",-,-,-
Sic 'em,Single - Any,22,"Level 1: Directs Cana to target an enemy and grants Cana a Free Turn.
Level 2: Increases Cana's damage by 35% against target
Level 3: Cana's ignores target's defense",-,-,-
Ember Bolt,Single - Any,-,"Level 1: Deals 0.6x Focus [Physical] damage and regenerates MP on hit.
Level 2: Deals extra damage based on missing MP, up to double
Level 3: Consumes one Overheat to double damage dealt",-,-,-
Flame Shield,Self,-,"Level 1: Blocks up to 0.35x Focus [Fire] damage taken for each stack of Overheat. Consumes Overheat.
Level 2: Deals 0.5x Focus [Fire] damage to attackers
Level 3: Blocking damage gains Overheat",-,-,-
Overheat,Passive,-,"Level 1: [Fire] skills sometimes increase your damage by 15% per stack, but take 10% Max HP [Fire] damage over time. Stacks 10 times.
Level 2: Take 50% less [Fire] damage over time
Level 3: Increases Speed by 10% per stack",-,-,-
Flash Fire,Passive,-,"Level 1: Increases [Fire] damage by 15% but skills cost 25% more MP.
Level 2: Increases [Fire] damage the lower your MP, up to double
Level 3: Decreases MP cost the lower your MP",-,-,-
Combust,Passive,-,"Level 1: Deals 0.4x Focus [Fire] damage for each Overheat stack to all enemies when Downed. Consumes Overheat. Cannot Miss.
Level 2: Deal 0.1x Focus [Fire] damage over time for each Overheat stack, after both Zane and enemy turns
Level 3: Revive when an enemy is Downed",-,-,-
Melt Armor,Single - Any,104,"Level 1: Deals 0.45x Focus [Fire] damage to target enemy. Damage increased based on target's Toughness. Lasts 3 turns.
Level 2: Target takes same [Fire] damage when hit by [Physical] damage 
Level 3: Refreshes duration and stacks up to 3 times",-,-,-
Flame Jet,Column - Any,78,"Level 1: Deals 1x Focus [Fire] damage to target enemies.
Level 2: Also deals 0.5x Focus [Fire] damage over time for 2 turns
Level 3: Increases [Fire] damage taken by 35%",-,-,Infernal Coal
Fire Blast,Row - Party,104,"Level 1: Deals 0.65x Focus [Fire] damage to enemies in the front row.
Level 2: Also deals [Stun] damage
Level 3: Deals 50% extra damage to all enemies",-,-,Zane's Passion
Pray,All - Party,-,"Level 1: Heals all party members for 0.15x Focus.
Level 2: Regenerate MP on use
Level 3: Use random [Holy] skill for free",-,-,-
Blessing,Single - Any,-,"Level 1: Bonus Action. Increases attributes of target ally by 20%. Limit one.
Level 2: Target receives 20% increased healing
Level 3: Target gains 1 Resist after their turn",-,-,-
Piety,Passive,-,"Level 1: Each [Holy] skill increases Focus by 10% of Discipline. Max 5 stacks.
Level 2: Each [Holy] skill use increases Discipline by 20%
Level 3: Each cast counts twice",-,-,-
Humility,Passive,-,"Level 1: [Healing] output increased by 0.25x Discipline. Cannot target self.
Level 2: Healing allies also heals yourself for 33% of health restored
Level 3: Also heals for Blessing target for 33% of health restored",-,-,-
Healing Word,Single - Any,36,"Level 1: Heals an ally for a 0.8x Focus.
Level 2: Also heals a second random ally
Level 3: Decreased turn delay",-,-,-
Renewal,Single - Any,45,"Level 1: Heals target for 0.5x Focus every turn for 3 turns.
Level 2: Healing increased by 25% every turn 
Level 3: Transfers to another ally and renews duration on end",-,-,Lydia's Ankh
Cleanse,Single - Any,54,"Level 1: Dispel all [Poison] debuffs.
Level 2: Removes one additional non-poison [Debuff]
Level 3: Heals target for 0.2x Focus HP for each [Debuff] dispelled",-,-,-
Hide,Self,35,"Level 1: Cannot be directly targeted by enemies and decreases damage taken by 50% for 1 turn.
Level 2: Decreases damage taken by 75%
Level 3: Dispels all [Debuff] on use",-,-,-
Kunai,Single - Any,-,"Level 1: Deals 0.8x Power [Physical] damage to target enemy.
Level 2: Hits 2 times
Level 3: Hits 3 times",-,-,-
Ambush,Self,-,"Level 1: Next skill deals 60% increased damage. Cannot be targeted by enemies.
Level 2: Increases Technique by 25%
Level 3: Increases critical damage by 120%",Stalk,-,Viper's Suit
Merciless,Passive,-,"Level 1: Deal 50% increased damage against critical HP enemies.
Level 2: Deal 10% increased damage for each [Debuff] on target
Level 3: 35% chance to reduce critical HP non-Boss target HP to one",-,-,-
Opportunist,Passive,-,"Level 1: Gain Free Turn the first time an enemy is at critical HP.
Level 2: Remove all [Debuff] when triggered
Level 3: Gain Ambush when triggered",-,-,-
Sense Weakness,Passive,-,"Level 1: Can view enemy HP, MP, and Attributes in the status menu.
Level 2: Critical HP enemies take 25% more damage
Level 3: Critical HP enemies cannot dodge",-,-,-
Execute,Single - Any,42,"Level 1: Deals 2.5x Power [Physical] damage to target critical enemy.
Level 2: Always deals critical damage 
Level 3: Cannot miss",Takedown,Coup de Gras,Yukiko's Dagger
Wound,Single - Melee,56,"Level 1: Deals 1.35x Power [Physical] damage and decreases target's [Healing] received by 40% for 3 turns.
Level 2: Stacks three times
Level 3: Decreases target's Endurance by 15%",Tear,-,-
Track,Single - Any,-,"Level 1: Bonus Action. Increases your chance to hit target by 50%. Refunds when downed.
Level 2: 15% increased damage to target
Level 3: 25% increased critical damage to target",-,-,Jed's Cap
Haymaker,Single - Melee,-,"Level 1: Deals 1.35x Power [Physical] damage to an enemy, with a 10% decreased chance to hit.
Level 2: 35% increased damage
Level 3: Also deals 4x the damage dealt as [Stun] damage",-,-,-
Fighting Spirit,Passive,-,"Level 1: Take 50% decreased damage when at critical HP.
Level 2: Regenerate 10-20% of Max HP when critical, regenerating more when at lower HP
Level 3: Dispel one [Debuff] when critical",-,-,-
Boozer,Passive,-,"Level 1: Automatically use Whiskey at start of turn. [Booze] skills have no stack limit.
Level 2: Using [Booze] skills Taunts an enemy
Level 3: Using [Booze] skills charged Hell Ride",-,-,-
Whiskey,Self,-,"Level 1: Bonus Action. Increases Power and Toughness by 15%, but hero has a 35% chance to lose control. Stackable 5 times.
Level 2: Decreases [Stun] damage taken by 25%
Level 3: Gain 3 Resist on use",-,-,Dan's Bottle
Hell Ride,Column - Any,-,"Level 1: Deals 1.5x Power [Physical] and [Fire] damage to enemies in a line. Charges over time.
Level 2: Each use increases damage by 50%
Level 3: Begins battle charged",-,-,-
Pummel,Single - Melee,141,"Level 1: Deals 0.45x Power [Physical] damage to target enemy 3-5 times. Long turn delay. 
Level 2: Consecutive hits deal [Stun] damage
Level 3: Number of hits increased to 5-10",-,-,-
Break Bones,Single - Melee,56,"Level 1: Deals 1.35x Power [Physical] damage and lowers target's highest Attribute by 25% for 3 turns. 
Level 2: Decreases healing received by 25% 
Level 3: Lasts entire battle",-,-,-
Smash,Single - Melee,-,"Level 1: Deals 1.35x Power [Physical] and [Stun] damage to an enemy.
Level 2: Deals [Stun] damage over time for 3 turns
Level 3: [Stun] damage always deals a critical hit",-,-,-
Smithing Tools,Self,?,"Level 1: Access Smithing Tool skills.
Level 2: Tools become level 2
Level 3: Tools become level 3",-,-,-
Whetstone,Single - Any,?,"Level 1: Increases the damage of ally's [Attack] skills by 35% for 3 turns.
Level 2: Increases [Attack] critical chance by 50%
Level 3: Increases [Attack] piercing by 50%",-,-,Smith's Training
Flamecoat,Single - Any,?,"Level 1: Adds 0.5x Focus [Fire] damage with [Attack] skills for 3 turns.
Level 2: Attackers take 0.5x Focus [Fire] damage 
Level 3: Increases all [Fire] damage dealt by target by 35%",-,-,-
Temper,Single - Any,?,"Level 1: [Physical] damage taken by target decreased by 0.5x [Power], up to 75%. Effect decays when hit.
Level 2: Decays at a slower rate
Level 3: Affects all damage types",-,-,-
Forgeborn,Passive,-,"Level 1: Decreases [Fire] damage taken by 90%.
Level 2: Convert [Fire] damage taken into restored MP
Level 3: Convert [Fire] damage taken into a bonus to all attributes, up to 200%",-,-,-
Artisan,Passive,-,"Level 1: Reduce cost of [Buff] skills by 50%.
Level 2: Smithing Tools become Bonus Actions
Level 3: Smithing Tools affect whole party",-,-,-
Sturdy Frame,Passive,-,"Level 1: Stamina has 50% decreased effect on Endurance
Level 2: 50% effect on Toughness
Level 3: 50% effect on Power",-,-,-
Cauterize,Single - Any,-,"Level 1: Dispells all [Debuff] from target ally. Deals 10% Max HP [Fire] damage to target for each [Debuff] dispelled.
Level 2: Increases target's Toughness by 15% for 3 turns
Level 3: Increases target's Endurance by 15% for 3 turns",-,-,-
Charge,Column - Any,-,"Level 1: Deals 1x Power [Physical] damage to enemies in a line.
Level 2: Also deals [Stun] damage
Level 3: 50% increased damage against one target",-,-,-
Bulwark,Self,-,"Level 1: Redirects 25% of damage taken by allies onto yourself until your next turn.
Level 2: Reduces ally damage taken from hits by 20%
Level 3: Increases redirect to 35% ",-,-,Javed's Spear
Replacement,Passive,-,"Level 1: On Death, be replaced by another Immortal up to 3 times, as long as at least one other ally is alive and not downed.
Level 2: Reduces Bleed Out to one turn
Level 3: Gain Free Turn when replaced",Faceless,-,-
Rallying Presence,Passive,-,"Level 1: When entering battle, increases all allies' Speed and Technique by 25% for 3 turns. 
Level 2: Increases Power and Toughness by 25% 
Level 3: Heals allies for 10% of Max HP after every turn",-,-,-
Imperial Guard,Passive,-,"Level 1: Automatically use Bulwark at start of turn.
Level 2: Deal 25% increased damage during Bulwark
Level 3: Gain 5% turn progress when taking redirect damage",-,-,-
Impale,Single - Melee,-,"Level 1: Deals 3x Power [Physical] damage to target. Ignores defenses. Charges over time. 
Level 2: Deals extra damage up to 10% of target's current HP
Level 3: Always deals critical damage",-,-,-
Adrenaline Rush,Self,-,"Level 1: Bonus Action. Staggers 50% of damage taken until next turn. 
Level 2: Increases Power by 50%
Level 3: Increases Toughness by 50%",-,-,-
Locust Swarm,All - Party,-,"Level 1: Deals 0.35x Focus [Physical] and [MP] damage to enemies.
Level 2: Steals MP based on damage dealt
Level 3: Always hits",-,-,Shephard's Spirit
Spirit Shield,Self,-,"Level 1: Bonus Action. 50% of damage taken is converted to [MP] damage.
Level 2: 50% decreased MP damage taken
Level 3: Increases MP healing received by 50%",-,-,-
Weigh Heart,Passive,-,"Level 1: Restores MP by 20% Max MP when an enemy is Downed.
Level 2: Restores MP by 20% Max MP when an ally is Downed
Level 3: Downed enemies are instantly killed, instead of bleeding out",-,-,-
Spirit Nexus,Passive,-,"Level 1: While at maximum MP, Spirit Shield gives received MP to allies.
Level 2: Spirit Shield increases MP healing received by 25%
Level 3: Spirit Shield increases maximum MP by 50%",-,-,-
Guide Souls,Passive,-,"Level 1: Amenemhet and Spirit allies share 35% of attributes with each other.
Level 2: Deal 25% increased damage for each Spirit ally
Level 3: Take 25% decreased damage for each Spirit ally",-,-,-
Draw Soul,Single - Any,133,"Level 1: Revive ally as an uncontrollable Spirit. Spirit is immune to damage and can't be targeted. Take [MP] damage on Ally's turn.
Level 2: Decreased MP damage taken
Level 3: Now a Bonus Action",-,-,-
Entomb,Single - Any,83,"Level 1: Deals 0.45x Focus [Physical] damage and decreases Speed and Agility by 50%. Costs MP every turn. Limit one. Cannot miss.
Level 2: Also deals [Stun] damage
Level 3: MP cost decreased by 35%",-,-,-
Sandstorm,All - Party,62,"Level 1: Deals 0.45x Focus [Physical] damage every turn and decreases target Technique by 35% while active. Toggleable.
Level 2: Enemies have a 35% chance to miss
Level 3: Enemies cannot critically hit",-,-,-
Revolver,Single - Any,-,"Level 1: Deals 145-195 [Physical] damage. Cannot be countered. Reload after 6 uses.
Level 2: Also deals [Stun] damage
Level 3: Deals critical damage against Lawbreakers",-,-,-
Justice,Passive,-,"Level 1: Gain 50% increased Speed if an ally is critical.
Level 2: Gain 50% increased Technique if an ally is critical
Level 3: Damage gains 50% piercing if an ally is critical",-,-,-
Lawman,Passive,-,"Level 1: Enemies become Lawbreakers after targeting your party.
Level 2: Adds up to 0.5x Samuel's TEC to damage on hits against Lawbreakers
Level 3: Allies always hit Lawbreakers",-,-,-
Posse,Single - Any,-,"Level 1: Allies attack target enemy Lawbreaker. Charges from Lawbreakers dealing damage. 
Level 2: Refunds some charge on use
Level 3: Gains charge twice as fast",-,-,-
Observe,Self,42,"Level 1: Stance. Automatically counter Lawbreakers after their turn.
Level 2: Take 50% reduced damage from Lawbreakers
Level 3: Revolver gains ammo when Lawbreakers act",-,-,-
Duel,Single - Any,56,"Level 1: Samuel and enemy can only target each other for 3 turns. Cannot be dispelled or resisted.
Level 2: Deal 35% increased damage to target
Level 3: Target deals 50% reduced damage",-,-,-
Venom Bite,Single - Melee,-,"Level 1: Deals 0.5x Power [Physical] damage, and [Poison] damage over time for 3 turns. Stacks.
Level 2: Stacks increase [Poison] damage taken by 15% 
Level 3: Trigger [Poison] damage for all stacks when hit by [Attack] skills",-,-,-
Shed Skin,Passive,-,"Level 1: Dispel one [Debuff] at the start of turn and heal for 20% of missing HP for each removed.
Level 2: Dispel 2 debuffs
Level 3: Dispel 3 debuffs",-,-,Lizard Scale
Mutating DNA,Passive,-,"Level 1: Every turn, gain +25 to a random attribute for 3 turns. Stacks.
Level 2: Increases 3 attributes
Level 3: Increases 5 attributes",-,-,-
Snapback,Passive,-,"Level 1: Counter with Venom Bite after being targeted by a [Melee] skill.
Level 2: Counter with Thrash if possible
Level 3: Counters cannot miss",Strike Back,-,-
Predator,Passive,-,"Level 1: Increases Power by up to 100% based on current health.
Level 2: Increases Technique by up to 100%
Level 3: Increases Speed by up to 100%",-,-,-
Thrash,Cross - Melee,- ,"Level 1: Deals 0.75x Power [Physical] damage to enemies in an area.
Level 2: Also deals [Stun] damage
Level 3: Primary target is also hit with Venom Bite",Pirouette,-,-
Hibernate,Self,-,"Level 1: Fall asleep, but regain 50% of max HP and MP. Automatically wake up at turn start if full HP. 3 turn charge.
Level 2: Gain Ambush after use
Level 3: Automatically activate when critical",-,-,-
M16,Single - Any,-,"Level 1: Deals 40-70 [Physical] damage 3 times. Reload after 3 uses. 
Level 2: 50% increased hit chance
Level 3: Last hit deals 50% more damage",-,-,-
Specialist,Passive,-,"Level 1: Turn delay of [Gadget] skills decreased by 25%.
Level 2: Damage increased by 20% for [Gadget] skills
Level 3: [Gadget] skills always critical hit",-,-,-
Covering Fire,Passive,-,"Level 1: Automatically attacks front row ally's target, if possible, whenever they act.
Level 2: Ally deals 15% more damage
Level 3: Ally always hits",-,-,-
